COG	Cat
COG0430	A
COG1949	A
COG4085	A
COG5180	A
COG5186	A
COG2036	B
COG5531	B
COG0022	C
COG0039	C
COG0045	C
COG0055	C
COG0056	C
COG0074	C
COG0114	C
COG0221	C
COG0224	C
COG0240	C
COG0243	C
COG0247	C
COG0277	C
COG0280	C
COG0281	C
COG0282	C
COG0348	C
COG0355	C
COG0356	C
COG0371	C
COG0372	C
COG0374	C
COG0377	C
COG0401	C
COG0426	C
COG0427	C
COG0431	C
COG0435	C
COG0437	C
COG0479	C
COG0508	C
COG0538	C
COG0546	C
COG0554	C
COG0567	C
COG0578	C
COG0633	C
COG0636	C
COG0644	C
COG0649	C
COG0650	C
COG0655	C
COG0674	C
COG0680	C
COG0711	C
COG0712	C
COG0713	C
COG0716	C
COG0723	C
COG0778	C
COG0838	C
COG0839	C
COG0843	C
COG0852	C
COG1005	C
COG1007	C
COG1008	C
COG1009	C
COG1013	C
COG1014	C
COG1017	C
COG1018	C
COG1029	C
COG1034	C
COG1035	C
COG1036	C
COG1038	C
COG1042	C
COG1048	C
COG1049	C
COG1053	C
COG1062	C
COG1071	C
COG1139	C
COG1141	C
COG1142	C
COG1143	C
COG1144	C
COG1145	C
COG1148	C
COG1150	C
COG1151	C
COG1152	C
COG1153	C
COG1155	C
COG1156	C
COG1182	C
COG1227	C
COG1229	C
COG1249	C
COG1251	C
COG1252	C
COG1254	C
COG1269	C
COG1271	C
COG1274	C
COG1282	C
COG1290	C
COG1294	C
COG1301	C
COG1319	C
COG1347	C
COG1359	C
COG1390	C
COG1394	C
COG1436	C
COG1454	C
COG1456	C
COG1526	C
COG1527	C
COG1529	C
COG1556	C
COG1584	C
COG1592	C
COG1614	C
COG1620	C
COG1622	C
COG1625	C
COG1726	C
COG1740	C
COG1757	C
COG1795	C
COG1805	C
COG1838	C
COG1845	C
COG1853	C
COG1866	C
COG1880	C
COG1882	C
COG1883	C
COG1894	C
COG1902	C
COG1905	C
COG1908	C
COG1927	C
COG1941	C
COG1951	C
COG1969	C
COG1979	C
COG2009	C
COG2010	C
COG2013	C
COG2025	C
COG2033	C
COG2037	C
COG2041	C
COG2048	C
COG2055	C
COG2069	C
COG2080	C
COG2086	C
COG2142	C
COG2191	C
COG2209	C
COG2210	C
COG2218	C
COG2224	C
COG2225	C
COG2326	C
COG2352	C
COG2414	C
COG2421	C
COG2440	C
COG2609	C
COG2717	C
COG2764	C
COG2811	C
COG2828	C
COG2838	C
COG2851	C
COG2857	C
COG2863	C
COG2864	C
COG2869	C
COG2871	C
COG2878	C
