COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord	NCBI_Biosample_Accession
COG0004	P	Ammonia_channel_protein_AmtB	8019254649	Ga0599600_01_434441_435511	Amt_family_ammonium_transporter	8019254199	Enterococcus_faecalis_705	434441	435511	SAMN23424734
COG0005	F	Purine_nucleoside_phosphorylase	8019254319	Ga0599600_01_137361_138179	purine-nucleoside_phosphorylase	8019254199	Enterococcus_faecalis_705	137361	138179	SAMN23424734
COG0006	E	Xaa-Pro_aminopeptidase	8019254740	Ga0599600_01_518122_519522	Xaa-Pro_aminopeptidase	8019254199	Enterococcus_faecalis_705	518122	519522	SAMN23424734
COG0006	E	Xaa-Pro_aminopeptidase	8019255069	Ga0599600_01_864533_865597	Xaa-Pro_aminopeptidase	8019254199	Enterococcus_faecalis_705	864533	865597	SAMN23424734
COG0006	E	Xaa-Pro_aminopeptidase	8019255879	Ga0599600_01_1674881_1675984	Xaa-Pro_dipeptidase	8019254199	Enterococcus_faecalis_705	1674881	1675984	SAMN23424734
COG0008	J	Glutamyl-_or_glutaminyl-tRNA_synthetase	8019254240	Ga0599600_01_47241_48698	nondiscriminating_glutamyl-tRNA_synthetase	8019254199	Enterococcus_faecalis_705	47241	48698	SAMN23424734
COG0009	J	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC	8019256406	Ga0599600_01_2220971_2221993	L-threonylcarbamoyladenylate_synthase	8019254199	Enterococcus_faecalis_705	2220971	2221993	SAMN23424734
COG0012	J	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family	8019257043	Ga0599600_01_2889132_2890247	GTP-binding_protein_YchF	8019254199	Enterococcus_faecalis_705	2889132	2890247	SAMN23424734
COG0013	J	Alanyl-tRNA_synthetase	8019255550	Ga0599600_01_1347876_1350518	alanyl-tRNA_synthetase	8019254199	Enterococcus_faecalis_705	1347876	1350518	SAMN23424734
COG0014	E	Gamma-glutamyl_phosphate_reductase	8019254234	Ga0599600_01_41141_42388	glutamate-5-semialdehyde_dehydrogenase	8019254199	Enterococcus_faecalis_705	41141	42388	SAMN23424734
COG0015	F	Adenylosuccinate_lyase	8019256253	Ga0599600_01_2059364_2060659	adenylosuccinate_lyase	8019254199	Enterococcus_faecalis_705	2059364	2060659	SAMN23424734
COG0016	J	Phenylalanyl-tRNA_synthetase_alpha_subunit	8019255283	Ga0599600_01_1078177_1079223	phenylalanyl-tRNA_synthetase_alpha_chain	8019254199	Enterococcus_faecalis_705	1078177	1079223	SAMN23424734
COG0017	J	Aspartyl/asparaginyl-tRNA_synthetase	8019256263	Ga0599600_01_2067831_2069165	asparaginyl-tRNA_synthetase	8019254199	Enterococcus_faecalis_705	2067831	2069165	SAMN23424734
COG0018	J	Arginyl-tRNA_synthetase	8019256358	Ga0599600_01_2171374_2173065	arginyl-tRNA_synthetase	8019254199	Enterococcus_faecalis_705	2171374	2173065	SAMN23424734
COG0019	E	Diaminopimelate_decarboxylase	8019255603	Ga0599600_01_1404519_1405811	diaminopimelate_decarboxylase	8019254199	Enterococcus_faecalis_705	1404519	1405811	SAMN23424734
COG0020	I	Undecaprenyl_pyrophosphate_synthase	8019256383	Ga0599600_01_2199286_2200101	undecaprenyl_diphosphate_synthase	8019254199	Enterococcus_faecalis_705	2199286	2200101	SAMN23424734
COG0021	G	Transketolase	8019255681	Ga0599600_01_1482729_1484723	transketolase	8019254199	Enterococcus_faecalis_705	1482729	1484723	SAMN23424734
COG0022	C	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component	8019255523	Ga0599600_01_1319895_1320872	pyruvate_dehydrogenase_E1_component_beta_subunit	8019254199	Enterococcus_faecalis_705	1319895	1320872	SAMN23424734
COG0022	C	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component	8019255797	Ga0599600_01_1594910_1595896	2-oxoisovalerate_dehydrogenase_E1_component_beta_subunit	8019254199	Enterococcus_faecalis_705	1594910	1595896	SAMN23424734
COG0024	J	Methionine_aminopeptidase	8019256190	Ga0599600_01_1981526_1982290	methionyl_aminopeptidase	8019254199	Enterococcus_faecalis_705	1981526	1982290	SAMN23424734
COG0025	P	NhaP-type_Na+/H+_or_K+/H+_antiporter	8019255674	Ga0599600_01_1474906_1476960	Na+/H+_antiporter	8019254199	Enterococcus_faecalis_705	1474906	1476960	SAMN23424734
COG0026	F	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)	8019256254	Ga0599600_01_2060702_2061817	5-(carboxyamino)imidazole_ribonucleotide_synthase	8019254199	Enterococcus_faecalis_705	2060702	2061817	SAMN23424734
COG0026	F	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)	8019255920	Ga0599600_01_1712921_1714045	5-(carboxyamino)imidazole_ribonucleotide_synthase	8019254199	Enterococcus_faecalis_705	1712921	1714045	SAMN23424734
COG0028	E H	Acetolactate_synthase_large_subunit_or_other_thiamine_pyrophosphate-requiring_enzyme	8019255378	Ga0599600_01_1169499_1171151	acetolactate_synthase-1/2/3_large_subunit	8019254199	Enterococcus_faecalis_705	1169499	1171151	SAMN23424734
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019255784	Ga0599600_01_1583884_1584621	23S_rRNA_(adenine-N6)-dimethyltransferase	8019254199	Enterococcus_faecalis_705	1583884	1584621	SAMN23424734
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019255007	Ga0599600_01_806101_806988	16S_rRNA_(adenine1518-N6/adenine1519-N6)-dimethyltransferase	8019254199	Enterococcus_faecalis_705	806101	806988	SAMN23424734
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019255756	Ga0599600_01_1562493_1563230	23S_rRNA_(adenine-N6)-dimethyltransferase	8019254199	Enterococcus_faecalis_705	1562493	1563230	SAMN23424734
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019257097	Ga0599600_02_14096_14833	23S_rRNA_(adenine-N6)-dimethyltransferase	8019254199	Enterococcus_faecalis_705	14096	14833	SAMN23424734
COG0031	E	Cysteine_synthase	8019255684	Ga0599600_01_1487409_1488341	cysteine_synthase_A	8019254199	Enterococcus_faecalis_705	1487409	1488341	SAMN23424734
COG0031	E	Cysteine_synthase	8019254445	Ga0599600_01_230509_231426	cysteine_synthase_A	8019254199	Enterococcus_faecalis_705	230509	231426	SAMN23424734
COG0034	F	Glutamine_phosphoribosylpyrophosphate_amidotransferase	8019255915	Ga0599600_01_1707485_1708924	amidophosphoribosyltransferase	8019254199	Enterococcus_faecalis_705	1707485	1708924	SAMN23424734
COG0035	F	Uracil_phosphoribosyltransferase	8019256404	Ga0599600_01_2218896_2219525	uracil_phosphoribosyltransferase	8019254199	Enterococcus_faecalis_705	2218896	2219525	SAMN23424734
