COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	8032469497	Ga0303342_042_6574_6654		8032467710	Enterococcus cecorum An144	14	6574	6654	NA	SAMN06473616	NA
	8032467956	Ga0303342_001_247642_247715		8032467710	Enterococcus cecorum An144	14	247642	247715	NA	SAMN06473616	NA
	8032468243	Ga0303342_013_62949_63026		8032467710	Enterococcus cecorum An144	14	62949	63026	NA	SAMN06473616	NA
	8032468635	Ga0303342_020_10376_10504		8032467710	Enterococcus cecorum An144	14	10376	10504	NA	SAMN06473616	NA
	8032469310	Ga0303342_032_98373_98473		8032467710	Enterococcus cecorum An144	14	98373	98473	NA	SAMN06473616	NA
	8032469945	Ga0303342_065_85822_85866		8032467710	Enterococcus cecorum An144	14	85822	85866	NA	SAMN06473616	NA
	8032468478	Ga0303342_017_1597_1675		8032467710	Enterococcus cecorum An144	14	1597	1675	NA	SAMN06473616	NA
	8032468408	Ga0303342_015_63299_63423		8032467710	Enterococcus cecorum An144	14	63299	63423	NA	SAMN06473616	NA
	8032470244	Ga0303342_087_106621_106832		8032467710	Enterococcus cecorum An144	14	106621	106832	NA	SAMN06473616	NA
	8032467751	Ga0303342_001_33772_33869		8032467710	Enterococcus cecorum An144	14	33772	33869	NA	SAMN06473616	NA
	8032468768	Ga0303342_021_95220_95389		8032467710	Enterococcus cecorum An144	14	95220	95389	NA	SAMN06473616	NA
	8032469792	Ga0303342_054_97022_97214		8032467710	Enterococcus cecorum An144	14	97022	97214	NA	SAMN06473616	NA
	8032468024	Ga0303342_002_47423_47656		8032467710	Enterococcus cecorum An144	14	47423	47656	NA	SAMN06473616	NA
	8032467856	Ga0303342_001_146286_146410		8032467710	Enterococcus cecorum An144	14	146286	146410	NA	SAMN06473616	NA
	8032468382	Ga0303342_015_37165_37289		8032467710	Enterococcus cecorum An144	14	37165	37289	NA	SAMN06473616	NA
	8032469176	Ga0303342_030_2639_2839		8032467710	Enterococcus cecorum An144	14	2639	2839	NA	SAMN06473616	NA
	8032469697	Ga0303342_052_3535_3706		8032467710	Enterococcus cecorum An144	14	3535	3706	NA	SAMN06473616	NA
	8032468386	Ga0303342_015_40571_40676		8032467710	Enterococcus cecorum An144	14	40571	40676	NA	SAMN06473616	NA
	8032469755	Ga0303342_054_56012_56083		8032467710	Enterococcus cecorum An144	14	56012	56083	NA	SAMN06473616	NA
	8032468446	Ga0303342_016_29110_29430		8032467710	Enterococcus cecorum An144	14	29110	29430	NA	SAMN06473616	NA
	8032469349	Ga0303342_033_6143_6356		8032467710	Enterococcus cecorum An144	14	6143	6356	NA	SAMN06473616	NA
	8032468345	Ga0303342_014_68564_68733		8032467710	Enterococcus cecorum An144	14	68564	68733	NA	SAMN06473616	NA
	8032469587	Ga0303342_043_98212_98346		8032467710	Enterococcus cecorum An144	14	98212	98346	NA	SAMN06473616	NA
	8032469762	Ga0303342_054_67333_67542		8032467710	Enterococcus cecorum An144	14	67333	67542	NA	SAMN06473616	NA
	8032468875	Ga0303342_021_210240_210467		8032467710	Enterococcus cecorum An144	14	210240	210467	NA	SAMN06473616	NA
	8032468479	Ga0303342_017_1704_1876		8032467710	Enterococcus cecorum An144	14	1704	1876	NA	SAMN06473616	NA
	8032468175	Ga0303342_013_1120_1327		8032467710	Enterococcus cecorum An144	14	1120	1327	NA	SAMN06473616	NA
	8032470177	Ga0303342_087_40999_41095		8032467710	Enterococcus cecorum An144	14	40999	41095	NA	SAMN06473616	NA
	8032469931	Ga0303342_065_73818_73946		8032467710	Enterococcus cecorum An144	14	73818	73946	NA	SAMN06473616	NA
	8032469322	Ga0303342_032_104993_105192		8032467710	Enterococcus cecorum An144	14	104993	105192	NA	SAMN06473616	NA
	8032469098	Ga0303342_027_23865_23993		8032467710	Enterococcus cecorum An144	14	23865	23993	NA	SAMN06473616	NA
	8032468727	Ga0303342_021_55502_55693		8032467710	Enterococcus cecorum An144	14	55502	55693	NA	SAMN06473616	NA
	8032469626	Ga0303342_044_993_1229	hypothetical protein	8032467710	Enterococcus cecorum An144	14	993	1229	NA	SAMN06473616	NA
	8032470371	Ga0303342_098_92603_92719	hypothetical protein	8032467710	Enterococcus cecorum An144	14	92603	92719	NA	SAMN06473616	NA
	8032468430	Ga0303342_016_13210_13983	hypothetical protein	8032467710	Enterococcus cecorum An144	14	13210	13983	NA	SAMN06473616	NA
	8032469370	Ga0303342_034_4289_4468	hypothetical protein	8032467710	Enterococcus cecorum An144	14	4289	4468	NA	SAMN06473616	NA
	8032468289	Ga0303342_014_32491_32949	hypothetical protein	8032467710	Enterococcus cecorum An144	14	32491	32949	NA	SAMN06473616	NA
	8032469628	Ga0303342_044_2115_2567	hypothetical protein	8032467710	Enterococcus cecorum An144	14	2115	2567	NA	SAMN06473616	NA
	8032469798	Ga0303342_054_105876_106673	hypothetical protein	8032467710	Enterococcus cecorum An144	14	105876	106673	NA	SAMN06473616	NA
	8032469848	Ga0303342_063_1463_1741	hypothetical protein	8032467710	Enterococcus cecorum An144	14	1463	1741	NA	SAMN06473616	NA
	8032468895	Ga0303342_022_18457_18567	hypothetical protein	8032467710	Enterococcus cecorum An144	14	18457	18567	NA	SAMN06473616	NA
	8032468586	Ga0303342_019_1_193	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	193	NA	SAMN06473616	NA
	8032469215	Ga0303342_032_1_1159	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	1159	NA	SAMN06473616	NA
	8032470129	Ga0303342_084_1066_1378	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1066	1378	NA	SAMN06473616	NA
	8032469858	Ga0303342_065_1_342	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	342	NA	SAMN06473616	NA
	8032470258	Ga0303342_091_1_519	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	519	NA	SAMN06473616	NA
	8032468689	Ga0303342_021_24783_25547	hypothetical protein	8032467710	Enterococcus cecorum An144	14	24783	25547	NA	SAMN06473616	NA
	8032468322	Ga0303342_014_45911_46249	hypothetical protein	8032467710	Enterococcus cecorum An144	14	45911	46249	NA	SAMN06473616	NA
	8032468986	Ga0303342_024_31519_33459	hypothetical protein	8032467710	Enterococcus cecorum An144	14	31519	33459	NA	SAMN06473616	NA
	8032468435	Ga0303342_016_17976_18188	hypothetical protein	8032467710	Enterococcus cecorum An144	14	17976	18188	NA	SAMN06473616	NA
	8032468383	Ga0303342_015_37435_38718	hypothetical protein	8032467710	Enterococcus cecorum An144	14	37435	38718	NA	SAMN06473616	NA
	8032468983	Ga0303342_024_30086_30319	hypothetical protein	8032467710	Enterococcus cecorum An144	14	30086	30319	NA	SAMN06473616	NA
	8032469372	Ga0303342_034_5632_6063	hypothetical protein	8032467710	Enterococcus cecorum An144	14	5632	6063	NA	SAMN06473616	NA
