COG_	Cat	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Chromosome	Start_Coord	End_Coord	Gene_Description
COG0004	P	8050124412	Ga0611941_014_16790_17860	Amt_family_ammonium_transporter	8050121573	Enterococcus_faecalis_Wae12b		16790	17860	Ammonia_channel_protein_AmtB
COG0005	F	8050122543	Ga0611941_002_65433_66251	purine-nucleoside_phosphorylase	8050121573	Enterococcus_faecalis_Wae12b		65433	66251	Purine_nucleoside_phosphorylase
COG0006	E	8050122203	Ga0611941_001_665283_666386	Xaa-Pro_dipeptidase	8050121573	Enterococcus_faecalis_Wae12b		665283	666386	Xaa-Pro_aminopeptidase
COG0006	E	8050123723	Ga0611941_007_49978_51378	Xaa-Pro_aminopeptidase	8050121573	Enterococcus_faecalis_Wae12b		49978	51378	Xaa-Pro_aminopeptidase
COG0006	E	8050123885	Ga0611941_008_83023_84087	Xaa-Pro_aminopeptidase	8050121573	Enterococcus_faecalis_Wae12b		83023	84087	Xaa-Pro_aminopeptidase
COG0008	J	8050122634	Ga0611941_002_164377_165834	nondiscriminating_glutamyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		164377	165834	Glutamyl-_or_glutaminyl-tRNA_synthetase
COG0009	J	8050121672	Ga0611941_001_105424_106446	L-threonylcarbamoyladenylate_synthase	8050121573	Enterococcus_faecalis_Wae12b		105424	106446	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC
COG0012	J	8050122721	Ga0611941_002_264177_265292	GTP-binding_protein_YchF	8050121573	Enterococcus_faecalis_Wae12b		264177	265292	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family
COG0013	J	8050124051	Ga0611941_009_115718_118360	alanyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		115718	118360	Alanyl-tRNA_synthetase
COG0014	E	8050122640	Ga0611941_002_170687_171934	glutamate-5-semialdehyde_dehydrogenase	8050121573	Enterococcus_faecalis_Wae12b		170687	171934	Gamma-glutamyl_phosphate_reductase
COG0015	F	8050121815	Ga0611941_001_258709_260004	adenylosuccinate_lyase	8050121573	Enterococcus_faecalis_Wae12b		258709	260004	Adenylosuccinate_lyase
COG0016	J	8050122934	Ga0611941_003_197284_198330	phenylalanyl-tRNA_synthetase_alpha_chain	8050121573	Enterococcus_faecalis_Wae12b		197284	198330	Phenylalanyl-tRNA_synthetase_alpha_subunit
COG0017	J	8050121805	Ga0611941_001_250204_251538	asparaginyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		250204	251538	Aspartyl/asparaginyl-tRNA_synthetase
COG0018	J	8050121717	Ga0611941_001_152670_154361	arginyl-tRNA_synthetase	8050121573	Enterococcus_faecalis_Wae12b		152670	154361	Arginyl-tRNA_synthetase
COG0019	E	8050124587	Ga0611941_017_33503_34678	diaminopimelate_decarboxylase	8050121573	Enterococcus_faecalis_Wae12b		33503	34678	Diaminopimelate_decarboxylase
COG0019	E	8050122427	Ga0611941_001_896454_897746	diaminopimelate_decarboxylase	8050121573	Enterococcus_faecalis_Wae12b		896454	897746	Diaminopimelate_decarboxylase
COG0020	I	8050121693	Ga0611941_001_125634_126449	undecaprenyl_diphosphate_synthase	8050121573	Enterococcus_faecalis_Wae12b		125634	126449	Undecaprenyl_pyrophosphate_synthase
COG0021	G	8050124737	Ga0611941_077_1_294	transketolase	8050121573	Enterococcus_faecalis_Wae12b		1	294	Transketolase
COG0021	G	8050122356	Ga0611941_001_822604_824598	transketolase	8050121573	Enterococcus_faecalis_Wae12b		822604	824598	Transketolase
COG0022	C	8050122283	Ga0611941_001_743455_744441	2-oxoisovalerate_dehydrogenase_E1_component_beta_subunit	8050121573	Enterococcus_faecalis_Wae12b		743455	744441	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component
COG0022	C	8050124024	Ga0611941_009_87735_88712	pyruvate_dehydrogenase_E1_component_beta_subunit	8050121573	Enterococcus_faecalis_Wae12b		87735	88712	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component
COG0024	J	8050121872	Ga0611941_001_327510_328274	methionyl_aminopeptidase	8050121573	Enterococcus_faecalis_Wae12b		327510	328274	Methionine_aminopeptidase
