COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	2562812749	CC88DRAFT_3292	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	3118417	3118842	NA	SAMN02841216	NA
	2562809698	CC88DRAFT_0240	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	102885	103514	NA	SAMN02841216	NA
	2562809699	CC88DRAFT_0241	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	103531	103914	NA	SAMN02841216	NA
	2562812748	CC88DRAFT_3291	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	3117696	3118247	NA	SAMN02841216	NA
	2562811719	CC88DRAFT_2262	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	2094295	2094534	NA	SAMN02841216	NA
	2562811779	CC88DRAFT_2322	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	2135766	2136038	NA	SAMN02841216	NA
	2562811548	CC88DRAFT_2091	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	1935462	1936586	NA	SAMN02841216	NA
	2562811778	CC88DRAFT_2321	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	2135153	2135701	NA	SAMN02841216	NA
	2562809613	CC88DRAFT_0155	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	23106	23294	NA	SAMN02841216	NA
	2562811701	CC88DRAFT_2244	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	2083559	2083975	NA	SAMN02841216	NA
	2562809833	CC88DRAFT_0376	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	118990	119499	NA	SAMN02841216	NA
	2562809488	CC88DRAFT_0029	Group II catalytic intron D1-D4-5	2562617050	Enterococcus gallinarum SKF1	5	22585	22796	NA	SAMN02841216	NA
	2562810879	CC88DRAFT_1422	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	1232869	1233582	NA	SAMN02841216	NA
	2562809837	CC88DRAFT_0380	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	121722	122087	NA	SAMN02841216	NA
	2562811196	CC88DRAFT_1739	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	1560492	1561196	NA	SAMN02841216	NA
	2562810821	CC88DRAFT_1364	hypothetical protein	2562617050	Enterococcus gallinarum SKF1	5	1177523	1178563	NA	SAMN02841216	NA
	2562809562	CC88DRAFT_0103	plasmid mobilization system relaxase	2562617050	Enterococcus gallinarum SKF1	5	88488	90473	NA	SAMN02841216	NA
