COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord
COG0004	P	Ammonia_channel_protein_AmtB	2896667922	Ga0263518_01_590420_590524	Amt_family_ammonium_transporter	2896667277	Enterococcus_faecium_16-346	590420	590524
COG0004	P	Ammonia_channel_protein_AmtB	2896667921	Ga0263518_01_589530_590354	Amt_family_ammonium_transporter	2896667277	Enterococcus_faecium_16-346	589530	590354
COG0004	P	Ammonia_channel_protein_AmtB	2896667920	Ga0263518_01_589312_589557	ammonia_channel_protein_AmtB	2896667277	Enterococcus_faecium_16-346	589312	589557
COG0013	J	Alanyl-tRNA_synthetase	2896667778	Ga0263518_01_457614_458213	alanyl-tRNA_synthetase	2896667277	Enterococcus_faecium_16-346	457614	458213
COG0013	J	Alanyl-tRNA_synthetase	2896667779	Ga0263518_01_458315_459388	alanyl-tRNA_synthetase	2896667277	Enterococcus_faecium_16-346	458315	459388
COG0013	J	Alanyl-tRNA_synthetase	2896667780	Ga0263518_01_459457_460254	alanyl-tRNA_synthetase	2896667277	Enterococcus_faecium_16-346	459457	460254
COG0015	F	Adenylosuccinate_lyase	2896667633	Ga0263518_01_320784_322079	adenylosuccinate_lyase	2896667277	Enterococcus_faecium_16-346	320784	322079
COG0016	J	Phenylalanyl-tRNA_synthetase_alpha_subunit	2896667717	Ga0263518_01_400703_401605	phenylalanyl-tRNA_synthetase_alpha_chain	2896667277	Enterococcus_faecium_16-346	400703	401605
COG0018	J	Arginyl-tRNA_synthetase	2896668141	Ga0263518_01_797903_799594	arginyl-tRNA_synthetase	2896667277	Enterococcus_faecium_16-346	797903	799594
COG0020	I	Undecaprenyl_pyrophosphate_synthase	2896668131	Ga0263518_01_790448_791041	undecaprenyl_diphosphate_synthase	2896667277	Enterococcus_faecium_16-346	790448	791041
COG0020	I	Undecaprenyl_pyrophosphate_synthase	2896668132	Ga0263518_01_791083_791259	undecaprenyl_pyrophosphate_synthase	2896667277	Enterococcus_faecium_16-346	791083	791259
COG0021	G	Transketolase	2896667747	Ga0263518_01_431276_431608	transketolase	2896667277	Enterococcus_faecium_16-346	431276	431608
COG0021	G	Transketolase	2896667746	Ga0263518_01_429612_431279	transketolase	2896667277	Enterococcus_faecium_16-346	429612	431279
COG0022	C	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component	2896667655	Ga0263518_01_346460_347437	pyruvate_dehydrogenase_E1_component_beta_subunit	2896667277	Enterococcus_faecium_16-346	346460	347437
COG0025	P	NhaP-type_Na+/H+_or_K+/H+_antiporter	2896667545	Ga0263518_01_239757_241835	CPA1_family_monovalent_cation:H+_antiporter	2896667277	Enterococcus_faecium_16-346	239757	241835
COG0026	F	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)	2896667632	Ga0263518_01_319647_320771	5-(carboxyamino)imidazole_ribonucleotide_synthase	2896667277	Enterococcus_faecium_16-346	319647	320771
COG0028	E_H	Acetolactate_synthase_large_subunit_or_other_thiamine_pyrophosphate-requiring_enzyme	2896668257	Ga0263518_01_891116_892768	acetolactate_synthase-1/2/3_large_subunit	2896667277	Enterococcus_faecium_16-346	891116	892768
COG0031	E	Cysteine_synthase	2896667749	Ga0263518_01_432882_433727	cysteine_synthase_A	2896667277	Enterococcus_faecium_16-346	432882	433727
COG0034	F	Glutamine_phosphoribosylpyrophosphate_amidotransferase	2896667639	Ga0263518_01_326755_328194	amidophosphoribosyltransferase	2896667277	Enterococcus_faecium_16-346	326755	328194
COG0036	G	Pentose-5-phosphate-3-epimerase	2896667414	Ga0263518_01_121606_122112	ribulose-phosphate_3-epimerase	2896667277	Enterococcus_faecium_16-346	121606	122112
COG0036	G	Pentose-5-phosphate-3-epimerase	2896667415	Ga0263518_01_122138_122302	ribulose-phosphate_3-epimerase	2896667277	Enterococcus_faecium_16-346	122138	122302
COG0038	P	H+/Cl-_antiporter_ClcA	2896668066	Ga0263518_01_714266_715825	H+/Cl-_antiporter_ClcA	2896667277	Enterococcus_faecium_16-346	714266	715825
COG0039	C	Malate/lactate_dehydrogenase	2896667823	Ga0263518_01_495492_496436	L-lactate_dehydrogenase	2896667277	Enterococcus_faecium_16-346	495492	496436
COG0041	F	Phosphoribosylcarboxyaminoimidazole_(NCAIR)_mutase	2896667631	Ga0263518_01_319166_319654	5-(carboxyamino)imidazole_ribonucleotide_mutase	2896667277	Enterococcus_faecium_16-346	319166	319654
COG0044	F	Dihydroorotase_or_related_cyclic_amidohydrolase	2896667795	Ga0263518_01_471088_472368	dihydroorotase	2896667277	Enterococcus_faecium_16-346	471088	472368
COG0046	F	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_synthetase_domain	2896667638	Ga0263518_01_324548_326770	phosphoribosylformylglycinamidine_synthase	2896667277	Enterococcus_faecium_16-346	324548	326770
COG0047	F	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_glutamine_amidotransferase_domain	2896667637	Ga0263518_01_323876_324547	phosphoribosylformylglycinamidine_synthase	2896667277	Enterococcus_faecium_16-346	323876	324547
COG0050	J	Translation_elongation_factor_EF-Tu,_a_GTPase	2896667501	Ga0263518_01_200171_201358	elongation_factor_Tu	2896667277	Enterococcus_faecium_16-346	200171	201358
COG0052	J	Ribosomal_protein_S2	2896668136	Ga0263518_01_793852_794634	small_subunit_ribosomal_protein_S2	2896667277	Enterococcus_faecium_16-346	793852	794634
COG0053	P	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter	2896667860	Ga0263518_01_537414_538121	cation_diffusion_facilitator_family_transporter	2896667277	Enterococcus_faecium_16-346	537414	538121
COG0053	P	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter	2896667782	Ga0263518_01_461171_462319	cation_diffusion_facilitator_family_transporter	2896667277	Enterococcus_faecium_16-346	461171	462319
COG0057	G	Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase	2896667735	Ga0263518_01_419072_420082	glyceraldehyde_3-phosphate_dehydrogenase	2896667277	Enterococcus_faecium_16-346	419072	420082
COG0064	J	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit	2896668060	Ga0263518_01_706515_707945	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_B	2896667277	Enterococcus_faecium_16-346	706515	707945
COG0071	O	Molecular_chaperone_IbpA,_HSP20_family	2896667984	Ga0263518_01_633278_633691	HSP20_family_protein	2896667277	Enterococcus_faecium_16-346	633278	633691
COG0072	J	Phenylalanyl-tRNA_synthetase_beta_subunit	2896667718	Ga0263518_01_401610_404030	phenylalanyl-tRNA_synthetase_beta_chain	2896667277	Enterococcus_faecium_16-346	401610	404030
COG0075	E_F	Archaeal_aspartate_aminotransferase_or_a_related_aminotransferase,_includes_purine_catabolism_protein_PucG	2896668138	Ga0263518_01_795689_795859	aspartate_aminotransferase-like_enzyme	2896667277	Enterococcus_faecium_16-346	795689	795859
COG0075	E_F	Archaeal_aspartate_aminotransferase_or_a_related_aminotransferase,_includes_purine_catabolism_protein_PucG	2896668139	Ga0263518_01_795796_796779	2-aminoethylphosphonate-pyruvate_transaminase	2896667277	Enterococcus_faecium_16-346	795796	796779
COG0077	E	Prephenate_dehydratase	2896668043	Ga0263518_01_688125_688961	prephenate_dehydratase	2896667277	Enterococcus_faecium_16-346	688125	688961
COG0078	E	Ornithine_carbamoyltransferase	2896668143	Ga0263518_01_801078_802097	ornithine_carbamoyltransferase	2896667277	Enterococcus_faecium_16-346	801078	802097
COG0082	E	Chorismate_synthase	2896668047	Ga0263518_01_691876_693042	chorismate_synthase	2896667277	Enterococcus_faecium_16-346	691876	693042
COG0084	N	Tat_protein_secretion_system_quality_control_protein_TatD_(DNase_activity)	2896667597	Ga0263518_01_288727_289449	TatD_DNase_family_protein	2896667277	Enterococcus_faecium_16-346	288727	289449
