COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	3005777697	Ga0493777_12_198701_198802		3005776529	Enterococcus aquimarinus DSM 17690	11	198701	198802	NA	SAMN03267160	NA
	3005777981	Ga0493777_23_29107_29496		3005776529	Enterococcus aquimarinus DSM 17690	11	29107	29496	NA	SAMN03267160	NA
	3005777098	Ga0493777_05_19022_19169		3005776529	Enterococcus aquimarinus DSM 17690	11	19022	19169	NA	SAMN03267160	NA
	3005778413	Ga0493777_42_26249_26494		3005776529	Enterococcus aquimarinus DSM 17690	11	26249	26494	NA	SAMN03267160	NA
	3005778943	Ga0493777_46_72595_72805		3005776529	Enterococcus aquimarinus DSM 17690	11	72595	72805	NA	SAMN03267160	NA
	3005776975	Ga0493777_03_37008_37244		3005776529	Enterococcus aquimarinus DSM 17690	11	37008	37244	NA	SAMN03267160	NA
	3005778372	Ga0493777_34_188381_188622		3005776529	Enterococcus aquimarinus DSM 17690	11	188381	188622	NA	SAMN03267160	NA
	3005776551	Ga0493777_01_21011_21142		3005776529	Enterococcus aquimarinus DSM 17690	11	21011	21142	NA	SAMN03267160	NA
	3005776890	Ga0493777_02_34922_35023		3005776529	Enterococcus aquimarinus DSM 17690	11	34922	35023	NA	SAMN03267160	NA
	3005777625	Ga0493777_12_142629_142700		3005776529	Enterococcus aquimarinus DSM 17690	11	142629	142700	NA	SAMN03267160	NA
	3005777296	Ga0493777_08_8686_8910		3005776529	Enterococcus aquimarinus DSM 17690	11	8686	8910	NA	SAMN03267160	NA
	3005778460	Ga0493777_42_73123_73223		3005776529	Enterococcus aquimarinus DSM 17690	11	73123	73223	NA	SAMN03267160	NA
	3005776918	Ga0493777_02_66016_66242		3005776529	Enterococcus aquimarinus DSM 17690	11	66016	66242	NA	SAMN03267160	NA
	3005778231	Ga0493777_34_38352_38585		3005776529	Enterococcus aquimarinus DSM 17690	11	38352	38585	NA	SAMN03267160	NA
	3005777748	Ga0493777_12_252582_252672		3005776529	Enterococcus aquimarinus DSM 17690	11	252582	252672	NA	SAMN03267160	NA
	3005778158	Ga0493777_23_205564_205776		3005776529	Enterococcus aquimarinus DSM 17690	11	205564	205776	NA	SAMN03267160	NA
	3005778232	Ga0493777_34_38647_38887		3005776529	Enterococcus aquimarinus DSM 17690	11	38647	38887	NA	SAMN03267160	NA
	3005778346	Ga0493777_34_160614_160846		3005776529	Enterococcus aquimarinus DSM 17690	11	160614	160846	NA	SAMN03267160	NA
	3005776861	Ga0493777_02_917_1092		3005776529	Enterococcus aquimarinus DSM 17690	11	917	1092	NA	SAMN03267160	NA
	3005776862	Ga0493777_02_1124_1216		3005776529	Enterococcus aquimarinus DSM 17690	11	1124	1216	NA	SAMN03267160	NA
	3005776628	Ga0493777_01_93145_93337		3005776529	Enterococcus aquimarinus DSM 17690	11	93145	93337	NA	SAMN03267160	NA
	3005778849	Ga0493777_45_80912_81152		3005776529	Enterococcus aquimarinus DSM 17690	11	80912	81152	NA	SAMN03267160	NA
	3005778111	Ga0493777_23_156245_156480		3005776529	Enterococcus aquimarinus DSM 17690	11	156245	156480	NA	SAMN03267160	NA
	3005778930	Ga0493777_46_58955_59026		3005776529	Enterococcus aquimarinus DSM 17690	11	58955	59026	NA	SAMN03267160	NA
	3005778590	Ga0493777_43_78224_78457		3005776529	Enterococcus aquimarinus DSM 17690	11	78224	78457	NA	SAMN03267160	NA
	3005777517	Ga0493777_12_34392_34623		3005776529	Enterococcus aquimarinus DSM 17690	11	34392	34623	NA	SAMN03267160	NA
	3005777523	Ga0493777_12_37418_37543		3005776529	Enterococcus aquimarinus DSM 17690	11	37418	37543	NA	SAMN03267160	NA
	3005777016	Ga0493777_03_81297_81471		3005776529	Enterococcus aquimarinus DSM 17690	11	81297	81471	NA	SAMN03267160	NA
	3005776798	Ga0493777_01_276517_276681		3005776529	Enterococcus aquimarinus DSM 17690	11	276517	276681	NA	SAMN03267160	NA
	3005777271	Ga0493777_07_59560_59769		3005776529	Enterococcus aquimarinus DSM 17690	11	59560	59769	NA	SAMN03267160	NA
	3005777844	Ga0493777_15_23280_23408		3005776529	Enterococcus aquimarinus DSM 17690	11	23280	23408	NA	SAMN03267160	NA
	3005777000	Ga0493777_03_65685_65781		3005776529	Enterococcus aquimarinus DSM 17690	11	65685	65781	NA	SAMN03267160	NA
	3005777066	Ga0493777_04_58091_58186		3005776529	Enterococcus aquimarinus DSM 17690	11	58091	58186	NA	SAMN03267160	NA
	3005777830	Ga0493777_15_12789_12893		3005776529	Enterococcus aquimarinus DSM 17690	11	12789	12893	NA	SAMN03267160	NA
	3005778442	Ga0493777_42_57767_57969		3005776529	Enterococcus aquimarinus DSM 17690	11	57767	57969	NA	SAMN03267160	NA
	3005777467	Ga0493777_11_25933_26019		3005776529	Enterococcus aquimarinus DSM 17690	11	25933	26019	NA	SAMN03267160	NA
	3005778858	Ga0493777_45_87146_87318		3005776529	Enterococcus aquimarinus DSM 17690	11	87146	87318	NA	SAMN03267160	NA
	3005777504	Ga0493777_12_25957_26180		3005776529	Enterococcus aquimarinus DSM 17690	11	25957	26180	NA	SAMN03267160	NA
	3005778285	Ga0493777_34_99040_99171	hypothetical protein	3005776529	Enterococcus aquimarinus DSM 17690	11	99040	99171	NA	SAMN03267160	NA
	3005778734	Ga0493777_44_73854_74072	hypothetical protein	3005776529	Enterococcus aquimarinus DSM 17690	11	73854	74072	NA	SAMN03267160	NA
