COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	8032490707	Ga0344232_11_3637_3736		8032488980	Enterococcus casseliflavus F1129E 107	4	3637	3736	NA	SAMN05735029	NA
	8032488990	Ga0344232_01_8251_8580		8032488980	Enterococcus casseliflavus F1129E 107	4	8251	8580	NA	SAMN05735029	NA
	8032490785	Ga0344232_11_90109_90280		8032488980	Enterococcus casseliflavus F1129E 107	4	90109	90280	NA	SAMN05735029	NA
	8032490882	Ga0344232_12_68525_68723		8032488980	Enterococcus casseliflavus F1129E 107	4	68525	68723	NA	SAMN05735029	NA
	8032490236	Ga0344232_07_99787_99891		8032488980	Enterococcus casseliflavus F1129E 107	4	99787	99891	NA	SAMN05735029	NA
	8032492380	Ga0344232_53_4922_5094		8032488980	Enterococcus casseliflavus F1129E 107	4	4922	5094	NA	SAMN05735029	NA
	8032491762	Ga0344232_23_24986_25087		8032488980	Enterococcus casseliflavus F1129E 107	4	24986	25087	NA	SAMN05735029	NA
	8032491168	Ga0344232_15_40732_40963		8032488980	Enterococcus casseliflavus F1129E 107	4	40732	40963	NA	SAMN05735029	NA
	8032489626	Ga0344232_04_13442_13805		8032488980	Enterococcus casseliflavus F1129E 107	4	13442	13805	NA	SAMN05735029	NA
	8032489270	Ga0344232_02_31555_31626		8032488980	Enterococcus casseliflavus F1129E 107	4	31555	31626	NA	SAMN05735029	NA
	8032490791	Ga0344232_11_98780_99033		8032488980	Enterococcus casseliflavus F1129E 107	4	98780	99033	NA	SAMN05735029	NA
	8032489018	Ga0344232_01_35895_36102		8032488980	Enterococcus casseliflavus F1129E 107	4	35895	36102	NA	SAMN05735029	NA
	8032490262	Ga0344232_07_122174_122300		8032488980	Enterococcus casseliflavus F1129E 107	4	122174	122300	NA	SAMN05735029	NA
	8032489062	Ga0344232_01_87170_87404		8032488980	Enterococcus casseliflavus F1129E 107	4	87170	87404	NA	SAMN05735029	NA
	8032490697	Ga0344232_10_124126_124227		8032488980	Enterococcus casseliflavus F1129E 107	4	124126	124227	NA	SAMN05735029	NA
	8032489779	Ga0344232_04_134977_135101		8032488980	Enterococcus casseliflavus F1129E 107	4	134977	135101	NA	SAMN05735029	NA
	8032491103	Ga0344232_14_78085_78319		8032488980	Enterococcus casseliflavus F1129E 107	4	78085	78319	NA	SAMN05735029	NA
	8032492352	Ga0344232_50_7720_7803		8032488980	Enterococcus casseliflavus F1129E 107	4	7720	7803	NA	SAMN05735029	NA
	8032490934	Ga0344232_12_122478_122681		8032488980	Enterococcus casseliflavus F1129E 107	4	122478	122681	NA	SAMN05735029	NA
	8032492184	Ga0344232_36_9905_10274		8032488980	Enterococcus casseliflavus F1129E 107	4	9905	10274	NA	SAMN05735029	NA
	8032491875	Ga0344232_26_3182_3320		8032488980	Enterococcus casseliflavus F1129E 107	4	3182	3320	NA	SAMN05735029	NA
	8032492251	Ga0344232_41_8717_8803		8032488980	Enterococcus casseliflavus F1129E 107	4	8717	8803	NA	SAMN05735029	NA
	8032489578	Ga0344232_03_132738_132972		8032488980	Enterococcus casseliflavus F1129E 107	4	132738	132972	NA	SAMN05735029	NA
	8032489978	Ga0344232_05_143191_143366		8032488980	Enterococcus casseliflavus F1129E 107	4	143191	143366	NA	SAMN05735029	NA
	8032491613	Ga0344232_20_62371_62553		8032488980	Enterococcus casseliflavus F1129E 107	4	62371	62553	NA	SAMN05735029	NA
	8032489511	Ga0344232_03_64209_64382		8032488980	Enterococcus casseliflavus F1129E 107	4	64209	64382	NA	SAMN05735029	NA
	8032491793	Ga0344232_24_2130_2214		8032488980	Enterococcus casseliflavus F1129E 107	4	2130	2214	NA	SAMN05735029	NA
	8032490294	Ga0344232_07_151755_151959		8032488980	Enterococcus casseliflavus F1129E 107	4	151755	151959	NA	SAMN05735029	NA
	8032489075	Ga0344232_01_98588_98666		8032488980	Enterococcus casseliflavus F1129E 107	4	98588	98666	NA	SAMN05735029	NA
	8032490463	Ga0344232_09_11626_11838		8032488980	Enterococcus casseliflavus F1129E 107	4	11626	11838	NA	SAMN05735029	NA
	8032489520	Ga0344232_03_70847_71085		8032488980	Enterococcus casseliflavus F1129E 107	4	70847	71085	NA	SAMN05735029	NA
	8032491795	Ga0344232_24_2339_2519		8032488980	Enterococcus casseliflavus F1129E 107	4	2339	2519	NA	SAMN05735029	NA
	8032490764	Ga0344232_11_67604_67701		8032488980	Enterococcus casseliflavus F1129E 107	4	67604	67701	NA	SAMN05735029	NA
	8032489876	Ga0344232_05_45665_45840		8032488980	Enterococcus casseliflavus F1129E 107	4	45665	45840	NA	SAMN05735029	NA
	8032492460	Ga0344232_77_467_651		8032488980	Enterococcus casseliflavus F1129E 107	4	467	651	NA	SAMN05735029	NA
	8032491155	Ga0344232_15_28556_28795		8032488980	Enterococcus casseliflavus F1129E 107	4	28556	28795	NA	SAMN05735029	NA
	8032492318	Ga0344232_47_467_639		8032488980	Enterococcus casseliflavus F1129E 107	4	467	639	NA	SAMN05735029	NA
	8032490464	Ga0344232_09_11906_12154		8032488980	Enterococcus casseliflavus F1129E 107	4	11906	12154	NA	SAMN05735029	NA
	8032489003	Ga0344232_01_24197_24320		8032488980	Enterococcus casseliflavus F1129E 107	4	24197	24320	NA	SAMN05735029	NA
	8032492320	Ga0344232_47_710_792		8032488980	Enterococcus casseliflavus F1129E 107	4	710	792	NA	SAMN05735029	NA
	8032492227	Ga0344232_39_8643_9013		8032488980	Enterococcus casseliflavus F1129E 107	4	8643	9013	NA	SAMN05735029	NA
	8032492469	Ga0344232_83_323_534		8032488980	Enterococcus casseliflavus F1129E 107	4	323	534	NA	SAMN05735029	NA
	8032492462	Ga0344232_77_706_789		8032488980	Enterococcus casseliflavus F1129E 107	4	706	789	NA	SAMN05735029	NA
	8032492283	Ga0344232_43_9900_10043		8032488980	Enterococcus casseliflavus F1129E 107	4	9900	10043	NA	SAMN05735029	NA
	8032492354	Ga0344232_50_7923_8104		8032488980	Enterococcus casseliflavus F1129E 107	4	7923	8104	NA	SAMN05735029	NA
	8032491529	Ga0344232_19_70981_71062		8032488980	Enterococcus casseliflavus F1129E 107	4	70981	71062	NA	SAMN05735029	NA
	8032492230	Ga0344232_39_10030_10118		8032488980	Enterococcus casseliflavus F1129E 107	4	10030	10118	NA	SAMN05735029	NA
	8032491328	Ga0344232_17_31920_32169		8032488980	Enterococcus casseliflavus F1129E 107	4	31920	32169	NA	SAMN05735029	NA
	8032490480	Ga0344232_09_26093_26163		8032488980	Enterococcus casseliflavus F1129E 107	4	26093	26163	NA	SAMN05735029	NA
	8032490208	Ga0344232_07_66150_66222		8032488980	Enterococcus casseliflavus F1129E 107	4	66150	66222	NA	SAMN05735029	NA
	8032491979	Ga0344232_28_32359_32447		8032488980	Enterococcus casseliflavus F1129E 107	4	32359	32447	NA	SAMN05735029	NA
	8032492407	Ga0344232_59_667_775		8032488980	Enterococcus casseliflavus F1129E 107	4	667	775	NA	SAMN05735029	NA
	8032491521	Ga0344232_19_62987_63206		8032488980	Enterococcus casseliflavus F1129E 107	4	62987	63206	NA	SAMN05735029	NA
	8032489521	Ga0344232_03_71136_71376		8032488980	Enterococcus casseliflavus F1129E 107	4	71136	71376	NA	SAMN05735029	NA
	8032490297	Ga0344232_08_2_103	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	2	103	NA	SAMN05735029	NA
	8032490461	Ga0344232_09_9247_10698	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	9247	10698	NA	SAMN05735029	NA
	8032489648	Ga0344232_04_33129_33443	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	33129	33443	NA	SAMN05735029	NA
	8032490709	Ga0344232_11_5665_6675	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	5665	6675	NA	SAMN05735029	NA
	8032490158	Ga0344232_07_2714_2995	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	2714	2995	NA	SAMN05735029	NA
	8032492379	Ga0344232_53_4881_5024	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	4881	5024	NA	SAMN05735029	NA
	8032490382	Ga0344232_08_75075_75350	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	75075	75350	NA	SAMN05735029	NA
	8032492244	Ga0344232_40_12363_13214	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	12363	13214	NA	SAMN05735029	NA
	8032489646	Ga0344232_04_32408_32797	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	32408	32797	NA	SAMN05735029	NA
	8032491481	Ga0344232_19_22912_23106	6S / SsrS RNA	8032488980	Enterococcus casseliflavus F1129E 107	4	22912	23106	NA	SAMN05735029	NA
	8032490747	Ga0344232_11_49527_50639	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	49527	50639	NA	SAMN05735029	NA
	8032490003	Ga0344232_06_3028_3342	hypothetical protein	8032488980	Enterococcus casseliflavus F1129E 107	4	3028	3342	NA	SAMN05735029	NA
	8032492441	Ga0344232_67_91_1649	16S ribosomal RNA	8032488980	Enterococcus casseliflavus F1129E 107	4	91	1649	NA	SAMN05735029	NA
