COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	8032470177	Ga0303342_087_40999_41095		8032467710	Enterococcus cecorum An144	14	40999	41095	NA	SAMN06473616	NA
	8032469792	Ga0303342_054_97022_97214		8032467710	Enterococcus cecorum An144	14	97022	97214	NA	SAMN06473616	NA
	8032467956	Ga0303342_001_247642_247715		8032467710	Enterococcus cecorum An144	14	247642	247715	NA	SAMN06473616	NA
	8032468243	Ga0303342_013_62949_63026		8032467710	Enterococcus cecorum An144	14	62949	63026	NA	SAMN06473616	NA
	8032469310	Ga0303342_032_98373_98473		8032467710	Enterococcus cecorum An144	14	98373	98473	NA	SAMN06473616	NA
	8032469098	Ga0303342_027_23865_23993		8032467710	Enterococcus cecorum An144	14	23865	23993	NA	SAMN06473616	NA
	8032469322	Ga0303342_032_104993_105192		8032467710	Enterococcus cecorum An144	14	104993	105192	NA	SAMN06473616	NA
	8032469349	Ga0303342_033_6143_6356		8032467710	Enterococcus cecorum An144	14	6143	6356	NA	SAMN06473616	NA
	8032468478	Ga0303342_017_1597_1675		8032467710	Enterococcus cecorum An144	14	1597	1675	NA	SAMN06473616	NA
	8032468768	Ga0303342_021_95220_95389		8032467710	Enterococcus cecorum An144	14	95220	95389	NA	SAMN06473616	NA
	8032469587	Ga0303342_043_98212_98346		8032467710	Enterococcus cecorum An144	14	98212	98346	NA	SAMN06473616	NA
	8032468382	Ga0303342_015_37165_37289		8032467710	Enterococcus cecorum An144	14	37165	37289	NA	SAMN06473616	NA
	8032468727	Ga0303342_021_55502_55693		8032467710	Enterococcus cecorum An144	14	55502	55693	NA	SAMN06473616	NA
	8032467856	Ga0303342_001_146286_146410		8032467710	Enterococcus cecorum An144	14	146286	146410	NA	SAMN06473616	NA
	8032467751	Ga0303342_001_33772_33869		8032467710	Enterococcus cecorum An144	14	33772	33869	NA	SAMN06473616	NA
	8032469497	Ga0303342_042_6574_6654		8032467710	Enterococcus cecorum An144	14	6574	6654	NA	SAMN06473616	NA
	8032469945	Ga0303342_065_85822_85866		8032467710	Enterococcus cecorum An144	14	85822	85866	NA	SAMN06473616	NA
	8032469697	Ga0303342_052_3535_3706		8032467710	Enterococcus cecorum An144	14	3535	3706	NA	SAMN06473616	NA
	8032468386	Ga0303342_015_40571_40676		8032467710	Enterococcus cecorum An144	14	40571	40676	NA	SAMN06473616	NA
	8032468345	Ga0303342_014_68564_68733		8032467710	Enterococcus cecorum An144	14	68564	68733	NA	SAMN06473616	NA
	8032468408	Ga0303342_015_63299_63423		8032467710	Enterococcus cecorum An144	14	63299	63423	NA	SAMN06473616	NA
	8032468479	Ga0303342_017_1704_1876		8032467710	Enterococcus cecorum An144	14	1704	1876	NA	SAMN06473616	NA
	8032468875	Ga0303342_021_210240_210467		8032467710	Enterococcus cecorum An144	14	210240	210467	NA	SAMN06473616	NA
	8032469762	Ga0303342_054_67333_67542		8032467710	Enterococcus cecorum An144	14	67333	67542	NA	SAMN06473616	NA
	8032469176	Ga0303342_030_2639_2839		8032467710	Enterococcus cecorum An144	14	2639	2839	NA	SAMN06473616	NA
	8032468024	Ga0303342_002_47423_47656		8032467710	Enterococcus cecorum An144	14	47423	47656	NA	SAMN06473616	NA
	8032468175	Ga0303342_013_1120_1327		8032467710	Enterococcus cecorum An144	14	1120	1327	NA	SAMN06473616	NA
	8032469755	Ga0303342_054_56012_56083		8032467710	Enterococcus cecorum An144	14	56012	56083	NA	SAMN06473616	NA
	8032469931	Ga0303342_065_73818_73946		8032467710	Enterococcus cecorum An144	14	73818	73946	NA	SAMN06473616	NA
	8032468635	Ga0303342_020_10376_10504		8032467710	Enterococcus cecorum An144	14	10376	10504	NA	SAMN06473616	NA
	8032468446	Ga0303342_016_29110_29430		8032467710	Enterococcus cecorum An144	14	29110	29430	NA	SAMN06473616	NA
	8032470244	Ga0303342_087_106621_106832		8032467710	Enterococcus cecorum An144	14	106621	106832	NA	SAMN06473616	NA
	8032469643	Ga0303342_045_7147_7242	hypothetical protein	8032467710	Enterococcus cecorum An144	14	7147	7242	NA	SAMN06473616	NA
	8032469706	Ga0303342_054_5119_5457	hypothetical protein	8032467710	Enterococcus cecorum An144	14	5119	5457	NA	SAMN06473616	NA
	8032470121	Ga0303342_082_1_168	hypothetical protein	8032467710	Enterococcus cecorum An144	14	1	168	NA	SAMN06473616	NA
	8032467735	Ga0303342_001_21259_21387	hypothetical protein	8032467710	Enterococcus cecorum An144	14	21259	21387	NA	SAMN06473616	NA
	8032468416	Ga0303342_016_2543_3142	hypothetical protein	8032467710	Enterococcus cecorum An144	14	2543	3142	NA	SAMN06473616	NA
	2515486459	B034DRAFT_02221	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	11635	12405	NA	SAMN02441041	NA
	8032469947	Ga0303342_065_87538_87933	hypothetical protein	8032467710	Enterococcus cecorum An144	14	87538	87933	NA	SAMN06473616	NA
	2515484667	B034DRAFT_00412	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	3	119	NA	SAMN02441041	NA
	2515486303	B034DRAFT_02064	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	2515154086	Enterococcus columbae DSM 7374	15	14218	18633	NA	SAMN02441041	NA
	2515486499	B034DRAFT_02261	Glucosyl transferase GtrII	2515154086	Enterococcus columbae DSM 7374	15	25266	26801	NA	SAMN02441041	NA
	8032468495	Ga0303342_017_16621_17295	hypothetical protein	8032467710	Enterococcus cecorum An144	14	16621	17295	NA	SAMN06473616	NA
	2515485912	B034DRAFT_01668	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	68911	69966	NA	SAMN02441041	NA
	2515484804	B034DRAFT_00549	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	145232	146497	NA	SAMN02441041	NA
	2515485498	B034DRAFT_01249	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	51431	51616	NA	SAMN02441041	NA
	2515485526	B034DRAFT_01278	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	77713	77874	NA	SAMN02441041	NA
	2515484764	B034DRAFT_00509	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	107419	108678	NA	SAMN02441041	NA
	8032469829	Ga0303342_059_712_1422	hypothetical protein	8032467710	Enterococcus cecorum An144	14	712	1422	NA	SAMN06473616	NA
	2515486587	B034DRAFT_02349	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	22782	23099	NA	SAMN02441041	NA
	2515486581	B034DRAFT_02343	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	15691	16713	NA	SAMN02441041	NA
	8032470258	Ga0303342_091_1_519	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	519	NA	SAMN06473616	NA
	8032469858	Ga0303342_065_1_342	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	342	NA	SAMN06473616	NA
	8032469215	Ga0303342_032_1_1159	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	1159	NA	SAMN06473616	NA
	8032470129	Ga0303342_084_1066_1378	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1066	1378	NA	SAMN06473616	NA
	8032468586	Ga0303342_019_1_193	16S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	193	NA	SAMN06473616	NA
	8032469830	Ga0303342_059_1419_1613	hypothetical protein	8032467710	Enterococcus cecorum An144	14	1419	1613	NA	SAMN06473616	NA
	2515486312	B034DRAFT_02073	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	24625	25329	NA	SAMN02441041	NA
	8032467718	Ga0303342_001_6030_8018	hypothetical protein	8032467710	Enterococcus cecorum An144	14	6030	8018	NA	SAMN06473616	NA
	2515486644	B034DRAFT_02406	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	2804	3079	NA	SAMN02441041	NA
	2515486419	B034DRAFT_02181	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	18879	19430	NA	SAMN02441041	NA
	8032468124	Ga0303342_012_34275_34391	hypothetical protein	8032467710	Enterococcus cecorum An144	14	34275	34391	NA	SAMN06473616	NA
	8032469831	Ga0303342_059_2805_2930	hypothetical protein	8032467710	Enterococcus cecorum An144	14	2805	2930	NA	SAMN06473616	NA
	2515485982	B034DRAFT_01740	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	2738	3619	NA	SAMN02441041	NA
	2515485769	B034DRAFT_01524	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	1	1173	NA	SAMN02441041	NA
	8032470278	Ga0303342_098_711_1061	hypothetical protein	8032467710	Enterococcus cecorum An144	14	711	1061	NA	SAMN06473616	NA
	2515486183	B034DRAFT_01943	16S rRNA (guanine1207-N2)-methyltransferase	2515154086	Enterococcus columbae DSM 7374	15	32495	33103	NA	SAMN02441041	NA
	2515486061	B034DRAFT_01820	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	10090	10842	NA	SAMN02441041	NA
	8032469533	Ga0303342_043_41926_43821	hypothetical protein	8032467710	Enterococcus cecorum An144	14	41926	43821	NA	SAMN06473616	NA
	2515485479	B034DRAFT_01230	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	29475	29858	NA	SAMN02441041	NA
	8032469693	Ga0303342_052_2057_2677	hypothetical protein	8032467710	Enterococcus cecorum An144	14	2057	2677	NA	SAMN06473616	NA
	2515484461	B034DRAFT_00205	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	217936	218130	NA	SAMN02441041	NA
	8032468343	Ga0303342_014_66906_68009	hypothetical protein	8032467710	Enterococcus cecorum An144	14	66906	68009	NA	SAMN06473616	NA
	2515486324	B034DRAFT_02085	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	32026	32832	NA	SAMN02441041	NA
	8032469112	Ga0303342_028_5847_6200	hypothetical protein	8032467710	Enterococcus cecorum An144	14	5847	6200	NA	SAMN06473616	NA
	2515485249	B034DRAFT_00999	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	40424	40585	NA	SAMN02441041	NA
	8032468112	Ga0303342_012_27156_27305	hypothetical protein	8032467710	Enterococcus cecorum An144	14	27156	27305	NA	SAMN06473616	NA
	8032468558	Ga0303342_018_25215_25667	hypothetical protein	8032467710	Enterococcus cecorum An144	14	25215	25667	NA	SAMN06473616	NA
	2515484666	B034DRAFT_00411	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	179088	179281	NA	SAMN02441041	NA
	2515486241	B034DRAFT_02001	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	45038	45154	NA	SAMN02441041	NA
	2515486400	B034DRAFT_02162	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	39872	39983	NA	SAMN02441041	NA
	2515486659	B034DRAFT_02421	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	127	1291	NA	SAMN02441041	NA
	2558308102	B034DRAFT_10000	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	121	1559	NA	SAMN02441041	NA
	2515485978	B034DRAFT_01736	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	63893	64032	NA	SAMN02441041	NA
	2515485335	B034DRAFT_01085	16S rRNA. Bacterial SSU	2515154086	Enterococcus columbae DSM 7374	15	134772	134902	NA	SAMN02441041	NA
	8032469202	Ga0303342_031_6019_7497	hypothetical protein	8032467710	Enterococcus cecorum An144	14	6019	7497	NA	SAMN06473616	NA
	8032468518	Ga0303342_017_42111_42260	hypothetical protein	8032467710	Enterococcus cecorum An144	14	42111	42260	NA	SAMN06473616	NA
	2515486274	B034DRAFT_02034	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	33097	33666	NA	SAMN02441041	NA
	2515486631	B034DRAFT_02393	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	3230	3613	NA	SAMN02441041	NA
	8032470029	Ga0303342_076_33836_33976	hypothetical protein	8032467710	Enterococcus cecorum An144	14	33836	33976	NA	SAMN06473616	NA
	8032469662	Ga0303342_048_1_183	hypothetical protein	8032467710	Enterococcus cecorum An144	14	1	183	NA	SAMN06473616	NA
	2515486444	B034DRAFT_02206	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	471	1058	NA	SAMN02441041	NA
	8032468423	Ga0303342_016_6064_7125	hypothetical protein	8032467710	Enterococcus cecorum An144	14	6064	7125	NA	SAMN06473616	NA
	2515486193	B034DRAFT_01953	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	42300	43034	NA	SAMN02441041	NA
	8032468287	Ga0303342_014_31609_31971	hypothetical protein	8032467710	Enterococcus cecorum An144	14	31609	31971	NA	SAMN06473616	NA
	8032469159	Ga0303342_029_13777_13965	hypothetical protein	8032467710	Enterococcus cecorum An144	14	13777	13965	NA	SAMN06473616	NA
	2515485127	B034DRAFT_00875	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	53745	53879	NA	SAMN02441041	NA
	2515484618	B034DRAFT_00363	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	127419	127670	NA	SAMN02441041	NA
	8032469854	Ga0303342_064_786_1097	hypothetical protein	8032467710	Enterococcus cecorum An144	14	786	1097	NA	SAMN06473616	NA
	8032469323	Ga0303342_032_105025_105135	hypothetical protein	8032467710	Enterococcus cecorum An144	14	105025	105135	NA	SAMN06473616	NA
	8032468884	Ga0303342_022_4090_4260	hypothetical protein	8032467710	Enterococcus cecorum An144	14	4090	4260	NA	SAMN06473616	NA
	8032468107	Ga0303342_012_21396_22601	hypothetical protein	8032467710	Enterococcus cecorum An144	14	21396	22601	NA	SAMN06473616	NA
	8032469107	Ga0303342_028_1655_1894	hypothetical protein	8032467710	Enterococcus cecorum An144	14	1655	1894	NA	SAMN06473616	NA
	8032469250	Ga0303342_032_37578_37814	hypothetical protein	8032467710	Enterococcus cecorum An144	14	37578	37814	NA	SAMN06473616	NA
	8032468705	Ga0303342_021_38170_38448	hypothetical protein	8032467710	Enterococcus cecorum An144	14	38170	38448	NA	SAMN06473616	NA
	8032468323	Ga0303342_014_46254_46583	hypothetical protein	8032467710	Enterococcus cecorum An144	14	46254	46583	NA	SAMN06473616	NA
	8032468703	Ga0303342_021_37249_37545	hypothetical protein	8032467710	Enterococcus cecorum An144	14	37249	37545	NA	SAMN06473616	NA
	8032468325	Ga0303342_014_47439_47642	hypothetical protein	8032467710	Enterococcus cecorum An144	14	47439	47642	NA	SAMN06473616	NA
	2515485725	B034DRAFT_01478	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	36010	36267	NA	SAMN02441041	NA
	8032469287	Ga0303342_032_78023_78265	hypothetical protein	8032467710	Enterococcus cecorum An144	14	78023	78265	NA	SAMN06473616	NA
	8032468669	Ga0303342_020_45603_45698	hypothetical protein	8032467710	Enterococcus cecorum An144	14	45603	45698	NA	SAMN06473616	NA
	2515486573	B034DRAFT_02335	23S methyl RNA motif	2515154086	Enterococcus columbae DSM 7374	15	9098	9202	NA	SAMN02441041	NA
	8032470264	Ga0303342_095_1_106	23S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	106	NA	SAMN06473616	NA
	8032470251	Ga0303342_087_112382_112482	23S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	112382	112482	NA	SAMN06473616	NA
	8032470259	Ga0303342_091_710_1096	23S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	710	1096	NA	SAMN06473616	NA
	8032468670	Ga0303342_021_1_2521	23S ribosomal RNA	8032467710	Enterococcus cecorum An144	14	1	2521	NA	SAMN06473616	NA
	8032469443	Ga0303342_039_3_89	hypothetical protein	8032467710	Enterococcus cecorum An144	14	3	89	NA	SAMN06473616	NA
	8032469445	Ga0303342_039_385_618	hypothetical protein	8032467710	Enterococcus cecorum An144	14	385	618	NA	SAMN06473616	NA
	2515484593	B034DRAFT_00338	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	108347	108568	NA	SAMN02441041	NA
	2515485472	B034DRAFT_01223	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	23452	23790	NA	SAMN02441041	NA
	2515484360	B034DRAFT_00103	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	106790	107959	NA	SAMN02441041	NA
	2515484633	B034DRAFT_00378	hypothetical protein	2515154086	Enterococcus columbae DSM 7374	15	142219	142317	NA	SAMN02441041	NA
