COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord	NCBI_Biosample_Accession
COG0005	F	Purine_nucleoside_phosphorylase	8030000828	Ga0609993_01_159688_160506	purine-nucleoside_phosphorylase	8030000678	Enterococcus_faecalis_AKSZ-208	159688	160506	SAMN27545017
COG0006	E	Xaa-Pro_aminopeptidase	8030002265	Ga0609993_01_1565169_1566272	Xaa-Pro_dipeptidase	8030000678	Enterococcus_faecalis_AKSZ-208	1565169	1566272	SAMN27545017
COG0006	E	Xaa-Pro_aminopeptidase	8030001179	Ga0609993_01_467343_468743	Xaa-Pro_aminopeptidase	8030000678	Enterococcus_faecalis_AKSZ-208	467343	468743	SAMN27545017
COG0006	E	Xaa-Pro_aminopeptidase	8030001515	Ga0609993_01_812960_814024	Xaa-Pro_aminopeptidase	8030000678	Enterococcus_faecalis_AKSZ-208	812960	814024	SAMN27545017
COG0008	J	Glutamyl-_or_glutaminyl-tRNA_synthetase	8030000716	Ga0609993_01_46231_47688	nondiscriminating_glutamyl-tRNA_synthetase	8030000678	Enterococcus_faecalis_AKSZ-208	46231	47688	SAMN27545017
COG0009	J	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC	8030002818	Ga0609993_01_2117164_2118186	L-threonylcarbamoyladenylate_synthase	8030000678	Enterococcus_faecalis_AKSZ-208	2117164	2118186	SAMN27545017
COG0012	J	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family	8030003463	Ga0609993_01_2790393_2791508	GTP-binding_protein_YchF	8030000678	Enterococcus_faecalis_AKSZ-208	2790393	2791508	SAMN27545017
COG0013	J	Alanyl-tRNA_synthetase	8030001966	Ga0609993_01_1262331_1264973	alanyl-tRNA_synthetase	8030000678	Enterococcus_faecalis_AKSZ-208	1262331	1264973	SAMN27545017
COG0014	E	Gamma-glutamyl_phosphate_reductase	8030000710	Ga0609993_01_40131_41378	glutamate-5-semialdehyde_dehydrogenase	8030000678	Enterococcus_faecalis_AKSZ-208	40131	41378	SAMN27545017
COG0015	F	Adenylosuccinate_lyase	8030002677	Ga0609993_01_1976229_1977524	adenylosuccinate_lyase	8030000678	Enterococcus_faecalis_AKSZ-208	1976229	1977524	SAMN27545017
COG0016	J	Phenylalanyl-tRNA_synthetase_alpha_subunit	8030001687	Ga0609993_01_984461_985507	phenylalanyl-tRNA_synthetase_alpha_chain	8030000678	Enterococcus_faecalis_AKSZ-208	984461	985507	SAMN27545017
COG0017	J	Aspartyl/asparaginyl-tRNA_synthetase	8030002687	Ga0609993_01_1984697_1986031	asparaginyl-tRNA_synthetase	8030000678	Enterococcus_faecalis_AKSZ-208	1984697	1986031	SAMN27545017
COG0018	J	Arginyl-tRNA_synthetase	8030002780	Ga0609993_01_2082707_2084398	arginyl-tRNA_synthetase	8030000678	Enterococcus_faecalis_AKSZ-208	2082707	2084398	SAMN27545017
COG0019	E	Diaminopimelate_decarboxylase	8030002021	Ga0609993_01_1317908_1319200	diaminopimelate_decarboxylase	8030000678	Enterococcus_faecalis_AKSZ-208	1317908	1319200	SAMN27545017
COG0020	I	Undecaprenyl_pyrophosphate_synthase	8030002795	Ga0609993_01_2096744_2097559	undecaprenyl_diphosphate_synthase	8030000678	Enterococcus_faecalis_AKSZ-208	2096744	2097559	SAMN27545017
COG0021	G	Transketolase	8030002098	Ga0609993_01_1396559_1398553	transketolase	8030000678	Enterococcus_faecalis_AKSZ-208	1396559	1398553	SAMN27545017
