COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	8032416893	Ga0339406_04_16917_17106		8032416508	Enterococcus gallinarum EG1	6	16917	17106	NA	SAMN08380408	NA
	8032417152	Ga0339406_07_13119_13285		8032416508	Enterococcus gallinarum EG1	6	13119	13285	NA	SAMN08380408	NA
	8032419784	Ga0339406_26_70989_71246		8032416508	Enterococcus gallinarum EG1	6	70989	71246	NA	SAMN08380408	NA
	8032417083	Ga0339406_06_23583_23765		8032416508	Enterococcus gallinarum EG1	6	23583	23765	NA	SAMN08380408	NA
	8032416766	Ga0339406_02_111711_111808		8032416508	Enterococcus gallinarum EG1	6	111711	111808	NA	SAMN08380408	NA
	8032417254	Ga0339406_09_21296_21459		8032416508	Enterococcus gallinarum EG1	6	21296	21459	NA	SAMN08380408	NA
	8032418924	Ga0339406_22_204102_204223		8032416508	Enterococcus gallinarum EG1	6	204102	204223	NA	SAMN08380408	NA
	8032417381	Ga0339406_11_75556_75654		8032416508	Enterococcus gallinarum EG1	6	75556	75654	NA	SAMN08380408	NA
	8032419253	Ga0339406_23_215197_215298		8032416508	Enterococcus gallinarum EG1	6	215197	215298	NA	SAMN08380408	NA
	8032419825	Ga0339406_26_117597_117769		8032416508	Enterococcus gallinarum EG1	6	117597	117769	NA	SAMN08380408	NA
	8032418224	Ga0339406_20_314088_314214		8032416508	Enterococcus gallinarum EG1	6	314088	314214	NA	SAMN08380408	NA
	8032419340	Ga0339406_24_56374_56453		8032416508	Enterococcus gallinarum EG1	6	56374	56453	NA	SAMN08380408	NA
	8032419832	Ga0339406_26_121479_121717		8032416508	Enterococcus gallinarum EG1	6	121479	121717	NA	SAMN08380408	NA
	8032418911	Ga0339406_22_189281_189463		8032416508	Enterococcus gallinarum EG1	6	189281	189463	NA	SAMN08380408	NA
	8032417146	Ga0339406_07_8832_8981		8032416508	Enterococcus gallinarum EG1	6	8832	8981	NA	SAMN08380408	NA
	8032419650	Ga0339406_25_149348_149543		8032416508	Enterococcus gallinarum EG1	6	149348	149543	NA	SAMN08380408	NA
	8032419199	Ga0339406_23_155948_156182		8032416508	Enterococcus gallinarum EG1	6	155948	156182	NA	SAMN08380408	NA
	8032417312	Ga0339406_10_29525_29645		8032416508	Enterococcus gallinarum EG1	6	29525	29645	NA	SAMN08380408	NA
	8032419315	Ga0339406_24_28266_28492		8032416508	Enterococcus gallinarum EG1	6	28266	28492	NA	SAMN08380408	NA
	8032417753	Ga0339406_11_476837_476983		8032416508	Enterococcus gallinarum EG1	6	476837	476983	NA	SAMN08380408	NA
	8032418266	Ga0339406_20_353248_353348		8032416508	Enterococcus gallinarum EG1	6	353248	353348	NA	SAMN08380408	NA
	8032417941	Ga0339406_20_47191_47315		8032416508	Enterococcus gallinarum EG1	6	47191	47315	NA	SAMN08380408	NA
	8032418022	Ga0339406_20_123913_124270		8032416508	Enterococcus gallinarum EG1	6	123913	124270	NA	SAMN08380408	NA
	8032417017	Ga0339406_05_46454_46636		8032416508	Enterococcus gallinarum EG1	6	46454	46636	NA	SAMN08380408	NA
	8032419935	Ga0339406_27_52813_52947		8032416508	Enterococcus gallinarum EG1	6	52813	52947	NA	SAMN08380408	NA
	8032419700	Ga0339406_25_200253_200450		8032416508	Enterococcus gallinarum EG1	6	200253	200450	NA	SAMN08380408	NA
	8032418838	Ga0339406_22_107427_107678		8032416508	Enterococcus gallinarum EG1	6	107427	107678	NA	SAMN08380408	NA
