COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord
COG0005	F	Purine_nucleoside_phosphorylase	8045536390	Ga0611950_05_192678_193496	purine-nucleoside_phosphorylase	8045533857	Enterococcus_faecalis_Wae7	192678	193496
COG0006	E	Xaa-Pro_aminopeptidase	8045534608	Ga0611950_01_793168_794271	Xaa-Pro_dipeptidase	8045533857	Enterococcus_faecalis_Wae7	793168	794271
COG0006	E	Xaa-Pro_aminopeptidase	8045535777	Ga0611950_03_179873_181273	Xaa-Pro_aminopeptidase	8045533857	Enterococcus_faecalis_Wae7	179873	181273
COG0006	E	Xaa-Pro_aminopeptidase	8045536139	Ga0611950_04_201053_202117	Xaa-Pro_aminopeptidase	8045533857	Enterococcus_faecalis_Wae7	201053	202117
COG0008	J	Glutamyl-_or_glutaminyl-tRNA_synthetase	8045536303	Ga0611950_05_93590_95047	nondiscriminating_glutamyl-tRNA_synthetase	8045533857	Enterococcus_faecalis_Wae7	93590	95047
COG0009	J	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC	8045534121	Ga0611950_01_264131_265153	L-threonylcarbamoyladenylate_synthase	8045533857	Enterococcus_faecalis_Wae7	264131	265153
COG0012	J	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family	8045536227	Ga0611950_05_8221_9336	GTP-binding_protein_YchF	8045533857	Enterococcus_faecalis_Wae7	8221	9336
COG0013	J	Alanyl-tRNA_synthetase	8045534898	Ga0611950_01_1090684_1093326	alanyl-tRNA_synthetase	8045533857	Enterococcus_faecalis_Wae7	1090684	1093326
COG0014	E	Gamma-glutamyl_phosphate_reductase	8045536297	Ga0611950_05_87490_88737	glutamate-5-semialdehyde_dehydrogenase	8045533857	Enterococcus_faecalis_Wae7	87490	88737
COG0015	F	Adenylosuccinate_lyase	8045534263	Ga0611950_01_414591_415886	adenylosuccinate_lyase	8045533857	Enterococcus_faecalis_Wae7	414591	415886
COG0016	J	Phenylalanyl-tRNA_synthetase_alpha_subunit	8045535162	Ga0611950_01_1360174_1361220	phenylalanyl-tRNA_synthetase_alpha_chain	8045533857	Enterococcus_faecalis_Wae7	1360174	1361220
