COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord	NCBI_Biosample_Accession
COG0005	F	Purine_nucleoside_phosphorylase	8019251433	Ga0599599_01_151225_152043	purine-nucleoside_phosphorylase	8019251303	Enterococcus_faecalis_661	151225	152043	SAMN23424737
COG0006	E	Xaa-Pro_aminopeptidase	8019252026	Ga0599599_01_730986_732050	Xaa-Pro_aminopeptidase	8019251303	Enterococcus_faecalis_661	730986	732050	SAMN23424737
COG0006	E	Xaa-Pro_aminopeptidase	8019252784	Ga0599599_01_1484473_1485576	Xaa-Pro_dipeptidase	8019251303	Enterococcus_faecalis_661	1484473	1485576	SAMN23424737
COG0006	E	Xaa-Pro_aminopeptidase	8019251711	Ga0599599_01_399123_400523	Xaa-Pro_aminopeptidase	8019251303	Enterococcus_faecalis_661	399123	400523	SAMN23424737
COG0008	J	Glutamyl-_or_glutaminyl-tRNA_synthetase	8019251341	Ga0599599_01_46226_47683	nondiscriminating_glutamyl-tRNA_synthetase	8019251303	Enterococcus_faecalis_661	46226	47683	SAMN23424737
COG0009	J	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC	8019253318	Ga0599599_01_2046156_2047178	L-threonylcarbamoyladenylate_synthase	8019251303	Enterococcus_faecalis_661	2046156	2047178	SAMN23424737
COG0012	J	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family	8019254004	Ga0599599_01_2731519_2732634	GTP-binding_protein_YchF	8019251303	Enterococcus_faecalis_661	2731519	2732634	SAMN23424737
COG0013	J	Alanyl-tRNA_synthetase	8019252502	Ga0599599_01_1191560_1194202	alanyl-tRNA_synthetase	8019251303	Enterococcus_faecalis_661	1191560	1194202	SAMN23424737
COG0014	E	Gamma-glutamyl_phosphate_reductase	8019251335	Ga0599599_01_40126_41373	glutamate-5-semialdehyde_dehydrogenase	8019251303	Enterococcus_faecalis_661	40126	41373	SAMN23424737
COG0015	F	Adenylosuccinate_lyase	8019253178	Ga0599599_01_1898533_1899828	adenylosuccinate_lyase	8019251303	Enterococcus_faecalis_661	1898533	1899828	SAMN23424737
COG0016	J	Phenylalanyl-tRNA_synthetase_alpha_subunit	8019252238	Ga0599599_01_923696_924742	phenylalanyl-tRNA_synthetase_alpha_chain	8019251303	Enterococcus_faecalis_661	923696	924742	SAMN23424737
