COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	2793802204	Ga0308467_141113	CRISPR-associated protein Csn2	2791355362	Enterococcus timonensis Marseille-P2817	9	1111388	1112050	NA	SAMEA4519250	NA
	2793801494	Ga0308467_14402	Cro/C1-type helix-turn-helix DNA-binding protein	2791355362	Enterococcus timonensis Marseille-P2817	9	402845	403069	NA	SAMEA4519250	NA
	2793800777	Ga0308467_13227	tRNA_Met_CAT	2791355362	Enterococcus timonensis Marseille-P2817	9	249036	249109	NA	SAMEA4519250	NA
	2793801672	Ga0308467_14580	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	563462	564436	NA	SAMEA4519250	NA
	2793800780	Ga0308467_13230	tRNA_Met_CAT	2791355362	Enterococcus timonensis Marseille-P2817	9	249342	249415	NA	SAMEA4519250	NA
	2793801697	Ga0308467_14605	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	586196	586810	NA	SAMEA4519250	NA
	2793801658	Ga0308467_14566	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	551525	551776	NA	SAMEA4519250	NA
	2793801497	Ga0308467_14405	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	404971	405876	NA	SAMEA4519250	NA
	2793800938	Ga0308467_13389	cupin domain	2791355362	Enterococcus timonensis Marseille-P2817	9	406738	407085	NA	SAMEA4519250	NA
	2793801999	Ga0308467_14908	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	900073	900324	NA	SAMEA4519250	NA
	2793800615	Ga0308467_1364	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	64424	64522	NA	SAMEA4519250	NA
	2793800367	Ga0308467_12117	16S rRNA m(2)G 1207 methyltransferase 	2791355362	Enterococcus timonensis Marseille-P2817	9	129960	130559	NA	SAMEA4519250	NA
	2793802151	Ga0308467_141060	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	1055284	1055511	NA	SAMEA4519250	NA
	2793802086	Ga0308467_14995	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	986698	987411	NA	SAMEA4519250	NA
	2793800693	Ga0308467_13142	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	158704	161235	NA	SAMEA4519250	NA
	2793801615	Ga0308467_14523	tRNA_Thr_CGT	2791355362	Enterococcus timonensis Marseille-P2817	9	516485	516557	NA	SAMEA4519250	NA
	2793800764	Ga0308467_13213	16S rRNA. Bacterial SSU	2791355362	Enterococcus timonensis Marseille-P2817	9	243223	244784	NA	SAMEA4519250	NA
	2793800552	Ga0308467_131	16S rRNA. Bacterial SSU	2791355362	Enterococcus timonensis Marseille-P2817	9	27	1588	NA	SAMEA4519250	NA
	2793801093	Ga0308467_13544	16S rRNA. Bacterial SSU	2791355362	Enterococcus timonensis Marseille-P2817	9	573494	575055	NA	SAMEA4519250	NA
	2793801386	Ga0308467_14294	tRNA_Tyr_GTA	2791355362	Enterococcus timonensis Marseille-P2817	9	300688	300768	NA	SAMEA4519250	NA
	2793800722	Ga0308467_13171	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	188128	189129	NA	SAMEA4519250	NA
	2793801099	Ga0308467_147	tRNA_Val_TAC	2791355362	Enterococcus timonensis Marseille-P2817	9	3529	3601	NA	SAMEA4519250	NA
	2793802224	Ga0308467_141133	D-alanine--poly(phosphoribitol) ligase subunit 1	2791355362	Enterococcus timonensis Marseille-P2817	9	1132398	1133903	NA	SAMEA4519250	NA
	2793801614	Ga0308467_14522	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	515986	516225	NA	SAMEA4519250	NA
	2793800880	Ga0308467_13331	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	345832	346155	NA	SAMEA4519250	NA
	2793801570	Ga0308467_14478	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	474102	474323	NA	SAMEA4519250	NA
	2793801529	Ga0308467_14437	putative NAD(P)-binding protein	2791355362	Enterococcus timonensis Marseille-P2817	9	432605	433243	NA	SAMEA4519250	NA
	2793801047	Ga0308467_13498	23S methyl RNA motif	2791355362	Enterococcus timonensis Marseille-P2817	9	522928	523031	NA	SAMEA4519250	NA
	2793801624	Ga0308467_14532	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	523309	523476	NA	SAMEA4519250	NA
	2793801206	Ga0308467_14114	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	121696	121908	NA	SAMEA4519250	NA
	2793801204	Ga0308467_14112	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	120348	120917	NA	SAMEA4519250	NA
	2793801046	Ga0308467_13497	23S rRNA (guanine745-N1)-methyltransferase	2791355362	Enterococcus timonensis Marseille-P2817	9	522017	522853	NA	SAMEA4519250	NA
	2793800969	Ga0308467_13420	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	442885	443436	NA	SAMEA4519250	NA
	2793801574	Ga0308467_14482	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	477368	477739	NA	SAMEA4519250	NA
	2793800587	Ga0308467_1336	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	34974	35162	NA	SAMEA4519250	NA
	2793800718	Ga0308467_13167	hypothetical protein	2791355362	Enterococcus timonensis Marseille-P2817	9	186058	186288	NA	SAMEA4519250	NA
