COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	2682471529	Ga0128518_1293	AAA-like domain-containing protein	2681813000	Enterococcus canis NBRC 100695	13	2352	4466	NA	SAMD00046312	NA
	2682471520	Ga0128518_1271	AAA-like domain-containing protein	2681813000	Enterococcus canis NBRC 100695	13	2	2116	NA	SAMD00046312	NA
	2682470491	Ga0128518_105109	hypothetical protein	2681813000	Enterococcus canis NBRC 100695	13	101703	101927	NA	SAMD00046312	NA
	2682471023	Ga0128518_10892	 NAD(P)H-dependent nitrate reductase catalytic subunit	2681813000	Enterococcus canis NBRC 100695	13	78122	80218	NA	SAMD00046312	NA
	2682471021	Ga0128518_10890	 NAD(P)H-dependent nitrate reductase diaphorase subunit	2681813000	Enterococcus canis NBRC 100695	13	76451	77680	NA	SAMD00046312	NA
	2682470442	Ga0128518_10560	 16S rRNA m(2)G 1207 methyltransferase	2681813000	Enterococcus canis NBRC 100695	13	56093	56695	NA	SAMD00046312	NA
	2682469739	Ga0128518_102322	DNA-directed RNA polymerase subunit beta	2681813000	Enterococcus canis NBRC 100695	13	323275	323451	NA	SAMD00046312	NA
	2682468883	Ga0128518_101162	hypothetical protein	2681813000	Enterococcus canis NBRC 100695	13	138353	138817	NA	SAMD00046312	NA
	2682469556	Ga0128518_102138	DNA-entry nuclease	2681813000	Enterococcus canis NBRC 100695	13	149078	149725	NA	SAMD00046312	NA
	2682471419	Ga0128518_11532	DNA-entry nuclease	2681813000	Enterococcus canis NBRC 100695	13	21581	22435	NA	SAMD00046312	NA
	2682471423	Ga0128518_11536	DnaJ domain-containing protein	2681813000	Enterococcus canis NBRC 100695	13	23179	23676	NA	SAMD00046312	NA
	2682469288	Ga0128518_101568	hypothetical protein	2681813000	Enterococcus canis NBRC 100695	13	541966	542151	NA	SAMD00046312	NA
	2682470593	Ga0128518_105212	 23S rRNA m(1)G-748 methyltransferase	2681813000	Enterococcus canis NBRC 100695	13	207939	208781	NA	SAMD00046312	NA
	2682469094	Ga0128518_101374	ABC-2 type transport system permease protein	2681813000	Enterococcus canis NBRC 100695	13	361556	362338	NA	SAMD00046312	NA
	2682469198	Ga0128518_101478	Linear amide C-N hydrolases, choloylglycine hydrolase family	2681813000	Enterococcus canis NBRC 100695	13	458646	459656	NA	SAMD00046312	NA
	2682469574	Ga0128518_102156	DUF218 domain-containing protein	2681813000	Enterococcus canis NBRC 100695	13	162956	163672	NA	SAMD00046312	NA
	2682470385	Ga0128518_1053	hypothetical protein	2681813000	Enterococcus canis NBRC 100695	13	1809	1901	NA	SAMD00046312	NA
	2682470517	Ga0128518_105135	hypothetical protein	2681813000	Enterococcus canis NBRC 100695	13	125606	126394	NA	SAMD00046312	NA
	2682469598	Ga0128518_102180	ABC-2 type transport system permease protein	2681813000	Enterococcus canis NBRC 100695	13	183967	184725	NA	SAMD00046312	NA
	2682468876	Ga0128518_101155	ABC-2 type transport system permease protein	2681813000	Enterococcus canis NBRC 100695	13	131888	133465	NA	SAMD00046312	NA
