COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord	NCBI_Biosample_Accession
COG0005	F	Purine_nucleoside_phosphorylase	8019257228	Ga0599601_01_139265_140083	purine-nucleoside_phosphorylase	8019257108	Enterococcus_faecalis_1521	139265	140083	SAMN23424733
COG0006	E	Xaa-Pro_aminopeptidase	8019257509	Ga0599601_01_389151_390551	Xaa-Pro_aminopeptidase	8019257108	Enterococcus_faecalis_1521	389151	390551	SAMN23424733
COG0006	E	Xaa-Pro_aminopeptidase	8019257822	Ga0599601_01_722924_723988	Xaa-Pro_aminopeptidase	8019257108	Enterococcus_faecalis_1521	722924	723988	SAMN23424733
COG0006	E	Xaa-Pro_aminopeptidase	8019258570	Ga0599601_01_1474907_1476010	Xaa-Pro_dipeptidase	8019257108	Enterococcus_faecalis_1521	1474907	1476010	SAMN23424733
COG0008	J	Glutamyl-_or_glutaminyl-tRNA_synthetase	8019257146	Ga0599601_01_46255_47712	nondiscriminating_glutamyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	46255	47712	SAMN23424733
COG0009	J	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC	8019259024	Ga0599601_01_1977376_1978398	L-threonylcarbamoyladenylate_synthase	8019257108	Enterococcus_faecalis_1521	1977376	1978398	SAMN23424733
COG0012	J	Ribosome-binding_ATPase_YchF,_GTP1/OBG_family	8019259680	Ga0599601_01_2643754_2644869	GTP-binding_protein_YchF	8019257108	Enterococcus_faecalis_1521	2643754	2644869	SAMN23424733
COG0013	J	Alanyl-tRNA_synthetase	8019258260	Ga0599601_01_1157630_1160272	alanyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	1157630	1160272	SAMN23424733
COG0014	E	Gamma-glutamyl_phosphate_reductase	8019257140	Ga0599601_01_40155_41402	glutamate-5-semialdehyde_dehydrogenase	8019257108	Enterococcus_faecalis_1521	40155	41402	SAMN23424733
COG0015	F	Adenylosuccinate_lyase	8019258880	Ga0599601_01_1824499_1825794	adenylosuccinate_lyase	8019257108	Enterococcus_faecalis_1521	1824499	1825794	SAMN23424733
COG0016	J	Phenylalanyl-tRNA_synthetase_alpha_subunit	8019257983	Ga0599601_01_877469_878515	phenylalanyl-tRNA_synthetase_alpha_chain	8019257108	Enterococcus_faecalis_1521	877469	878515	SAMN23424733
COG0017	J	Aspartyl/asparaginyl-tRNA_synthetase	8019258890	Ga0599601_01_1832964_1834298	asparaginyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	1832964	1834298	SAMN23424733
COG0018	J	Arginyl-tRNA_synthetase	8019258977	Ga0599601_01_1928813_1930504	arginyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	1928813	1930504	SAMN23424733
COG0019	E	Diaminopimelate_decarboxylase	8019258342	Ga0599601_01_1239581_1240873	diaminopimelate_decarboxylase	8019257108	Enterococcus_faecalis_1521	1239581	1240873	SAMN23424733
COG0020	I	Undecaprenyl_pyrophosphate_synthase	8019259002	Ga0599601_01_1956599_1957414	undecaprenyl_diphosphate_synthase	8019257108	Enterococcus_faecalis_1521	1956599	1957414	SAMN23424733
COG0021	G	Transketolase	8019258416	Ga0599601_01_1316074_1318068	transketolase	8019257108	Enterococcus_faecalis_1521	1316074	1318068	SAMN23424733
COG0022	C	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component	8019258488	Ga0599601_01_1394603_1395589	2-oxoisovalerate_dehydrogenase_E1_component_beta_subunit	8019257108	Enterococcus_faecalis_1521	1394603	1395589	SAMN23424733
COG0022	C	Pyruvate/2-oxoglutarate/acetoin_dehydrogenase_complex,_dehydrogenase_(E1)_component	8019258230	Ga0599601_01_1127189_1128166	pyruvate_dehydrogenase_E1_component_beta_subunit	8019257108	Enterococcus_faecalis_1521	1127189	1128166	SAMN23424733
COG0024	J	Methionine_aminopeptidase	8019258841	Ga0599601_01_1770562_1771326	methionyl_aminopeptidase	8019257108	Enterococcus_faecalis_1521	1770562	1771326	SAMN23424733
COG0025	P	NhaP-type_Na+/H+_or_K+/H+_antiporter	8019258409	Ga0599601_01_1308250_1310304	Na+/H+_antiporter	8019257108	Enterococcus_faecalis_1521	1308250	1310304	SAMN23424733
COG0026	F	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)	8019258881	Ga0599601_01_1825837_1826952	5-(carboxyamino)imidazole_ribonucleotide_synthase	8019257108	Enterococcus_faecalis_1521	1825837	1826952	SAMN23424733
COG0026	F	Phosphoribosylaminoimidazole_carboxylase_(NCAIR_synthetase)	8019258611	Ga0599601_01_1512945_1514069	5-(carboxyamino)imidazole_ribonucleotide_synthase	8019257108	Enterococcus_faecalis_1521	1512945	1514069	SAMN23424733
COG0028	E H	Acetolactate_synthase_large_subunit_or_other_thiamine_pyrophosphate-requiring_enzyme	8019258089	Ga0599601_01_980583_982235	acetolactate_synthase-1/2/3_large_subunit	8019257108	Enterococcus_faecalis_1521	980583	982235	SAMN23424733
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019258283	Ga0599601_01_1182076_1182609	23S_rRNA_(adenine-N6)-dimethyltransferase	8019257108	Enterococcus_faecalis_1521	1182076	1182609	SAMN23424733
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019257779	Ga0599601_01_684495_685382	16S_rRNA_(adenine1518-N6/adenine1519-N6)-dimethyltransferase	8019257108	Enterococcus_faecalis_1521	684495	685382	SAMN23424733
COG0030	J	16S_rRNA_A1518_and_A1519_N6-dimethyltransferase_RsmA/KsgA/DIM1_(may_also_have_DNA_glycosylase/AP_lyase_activity)	8019259797	Ga0599601_02_64958_65695	23S_rRNA_(adenine-N6)-dimethyltransferase	8019257108	Enterococcus_faecalis_1521	64958	65695	SAMN23424733
COG0031	E	Cysteine_synthase	8019257354	Ga0599601_01_230939_231856	cysteine_synthase_A	8019257108	Enterococcus_faecalis_1521	230939	231856	SAMN23424733
COG0031	E	Cysteine_synthase	8019258419	Ga0599601_01_1320753_1321685	cysteine_synthase_A	8019257108	Enterococcus_faecalis_1521	1320753	1321685	SAMN23424733
COG0034	F	Glutamine_phosphoribosylpyrophosphate_amidotransferase	8019258606	Ga0599601_01_1507509_1508948	amidophosphoribosyltransferase	8019257108	Enterococcus_faecalis_1521	1507509	1508948	SAMN23424733
COG0035	F	Uracil_phosphoribosyltransferase	8019259022	Ga0599601_01_1975301_1975930	uracil_phosphoribosyltransferase	8019257108	Enterococcus_faecalis_1521	1975301	1975930	SAMN23424733
COG0036	G	Pentose-5-phosphate-3-epimerase	8019258355	Ga0599601_01_1255075_1255764	D-allulose-6-phosphate_3-epimerase	8019257108	Enterococcus_faecalis_1521	1255075	1255764	SAMN23424733
COG0036	G	Pentose-5-phosphate-3-epimerase	8019259505	Ga0599601_01_2464190_2464843	ribulose-phosphate_3-epimerase	8019257108	Enterococcus_faecalis_1521	2464190	2464843	SAMN23424733
COG0037	J	tRNA(Ile)-lysidine_synthase_TilS/MesJ	8019257300	Ga0599601_01_197389_198777	tRNA(Ile)-lysidine_synthase	8019257108	Enterococcus_faecalis_1521	197389	198777	SAMN23424733
COG0038	P	H+/Cl-_antiporter_ClcA	8019257570	Ga0599601_01_455056_456615	H+/Cl-_antiporter_ClcA	8019257108	Enterococcus_faecalis_1521	455056	456615	SAMN23424733
COG0038	P	H+/Cl-_antiporter_ClcA	8019258969	Ga0599601_01_1920590_1921855	H+/Cl-_antiporter_ClcA	8019257108	Enterococcus_faecalis_1521	1920590	1921855	SAMN23424733
COG0039	C	Malate/lactate_dehydrogenase	8019257293	Ga0599601_01_188719_189711	L-lactate_dehydrogenase	8019257108	Enterococcus_faecalis_1521	188719	189711	SAMN23424733
COG0039	C	Malate/lactate_dehydrogenase	8019257492	Ga0599601_01_376502_377455	L-lactate_dehydrogenase	8019257108	Enterococcus_faecalis_1521	376502	377455	SAMN23424733
COG0041	F	Phosphoribosylcarboxyaminoimidazole_(NCAIR)_mutase	8019258612	Ga0599601_01_1514062_1514550	5-(carboxyamino)imidazole_ribonucleotide_mutase	8019257108	Enterococcus_faecalis_1521	1514062	1514550	SAMN23424733
