COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	8072317725	Ga0493778_35_3016_3103		8072315685	Enterococcus canintestini DSM 21207	12	3016	3103	NA	SAMN03267163	NA
	8072316318	Ga0493778_05_69915_70094		8072315685	Enterococcus canintestini DSM 21207	12	69915	70094	NA	SAMN03267163	NA
	8072316382	Ga0493778_06_57556_57655		8072315685	Enterococcus canintestini DSM 21207	12	57556	57655	NA	SAMN03267163	NA
	8072318121	Ga0493778_59_119772_119972		8072315685	Enterococcus canintestini DSM 21207	12	119772	119972	NA	SAMN03267163	NA
	8072317591	Ga0493778_34_27389_27457		8072315685	Enterococcus canintestini DSM 21207	12	27389	27457	NA	SAMN03267163	NA
	8072317269	Ga0493778_23_21912_22075		8072315685	Enterococcus canintestini DSM 21207	12	21912	22075	NA	SAMN03267163	NA
	8072316317	Ga0493778_05_69778_69864		8072315685	Enterococcus canintestini DSM 21207	12	69778	69864	NA	SAMN03267163	NA
	8072316504	Ga0493778_08_48575_48807		8072315685	Enterococcus canintestini DSM 21207	12	48575	48807	NA	SAMN03267163	NA
	8072318162	Ga0493778_60_36739_36811		8072315685	Enterococcus canintestini DSM 21207	12	36739	36811	NA	SAMN03267163	NA
	8072315933	Ga0493778_01_258792_259160		8072315685	Enterococcus canintestini DSM 21207	12	258792	259160	NA	SAMN03267163	NA
	8072317953	Ga0493778_56_74757_74861		8072315685	Enterococcus canintestini DSM 21207	12	74757	74861	NA	SAMN03267163	NA
	8072315790	Ga0493778_01_110237_110308		8072315685	Enterococcus canintestini DSM 21207	12	110237	110308	NA	SAMN03267163	NA
	8072316726	Ga0493778_12_54824_54994		8072315685	Enterococcus canintestini DSM 21207	12	54824	54994	NA	SAMN03267163	NA
	8072318247	Ga0493778_61_18906_19146		8072315685	Enterococcus canintestini DSM 21207	12	18906	19146	NA	SAMN03267163	NA
	8072315741	Ga0493778_01_59541_59777		8072315685	Enterococcus canintestini DSM 21207	12	59541	59777	NA	SAMN03267163	NA
	8072317478	Ga0493778_26_13973_14134		8072315685	Enterococcus canintestini DSM 21207	12	13973	14134	NA	SAMN03267163	NA
	8072318285	Ga0493778_61_57629_57885		8072315685	Enterococcus canintestini DSM 21207	12	57629	57885	NA	SAMN03267163	NA
	8072317979	Ga0493778_56_97179_97310		8072315685	Enterococcus canintestini DSM 21207	12	97179	97310	NA	SAMN03267163	NA
	8072316706	Ga0493778_12_33396_33493		8072315685	Enterococcus canintestini DSM 21207	12	33396	33493	NA	SAMN03267163	NA
