COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	NCBI.Biosample.Accession	Gene_Product	Cat
	2654391682	Ga0104391_11718	hypothetical protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	13557	13760	SAMN05216513	NA	NA
	2654389137	Ga0104391_101239	hypothetical protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	256954	258000	SAMN05216513	NA	NA
	2654389515	Ga0104391_102293	uncharacterized protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	317768	319327	SAMN05216513	NA	NA
	2654391138	Ga0104391_11145	LysM domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	43588	44190	SAMN05216513	NA	NA
	2654391650	Ga0104391_11661	 16S rRNA m(2)G 1207 methyltransferase	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	64217	64822	SAMN05216513	NA	NA
	2654391706	Ga0104391_11742	LysM domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	34883	35500	SAMN05216513	NA	NA
	2654389527	Ga0104391_102305	Cysteine-rich secretory protein family protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	331827	332867	SAMN05216513	NA	NA
	2654392201	Ga0104391_1287	hypothetical protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	6180	8024	SAMN05216513	NA	NA
	2654392250	Ga0104391_1312	hypothetical protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	676	1032	SAMN05216513	NA	NA
	2654391622	Ga0104391_11633	glyoxalase family protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	36932	37825	SAMN05216513	NA	NA
	2654389428	Ga0104391_102205	hypothetical protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	223463	224734	SAMN05216513	NA	NA
	2654391841	Ga0104391_11917	hypothetical protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	14343	14546	SAMN05216513	NA	NA
	2654391722	Ga0104391_11759	Lysozyme-like	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	50299	50928	SAMN05216513	NA	NA
	2654391147	Ga0104391_11154	M protein trans-acting positive regulator (MGA) HTH domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	53856	55298	SAMN05216513	NA	NA
	2654390784	Ga0104391_108155	Acetyltransferase (GNAT) domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	156515	156973	SAMN05216513	NA	NA
	2654391850	Ga0104391_11926	Acetyltransferase (GNAT) domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	23903	24319	SAMN05216513	NA	NA
	2654389541	Ga0104391_102319	Acetyltransferase (GNAT) domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	347416	347829	SAMN05216513	NA	NA
	2654389119	Ga0104391_101221	Acetyltransferase (GNAT) family protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	239337	239837	SAMN05216513	NA	NA
	2654389818	Ga0104391_10416	Major Facilitator Superfamily protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	18575	19741	SAMN05216513	NA	NA
	2654391331	Ga0104391_11317	Protein of unknown function (DUF1093)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	19885	20199	SAMN05216513	NA	NA
	2654388908	Ga0104391_1017	Protein of unknown function (DUF1116)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	6577	7839	SAMN05216513	NA	NA
	2654389246	Ga0104391_10221	Protein of unknown function (DUF1189)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	19389	20198	SAMN05216513	NA	NA
	2654391312	Ga0104391_112107	D-methionine transport system ATP-binding protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	107026	107751	SAMN05216513	NA	NA
	2654390537	Ga0104391_107106	malonate decarboxylase delta subunit	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	99737	100036	SAMN05216513	NA	NA
	2654392119	Ga0104391_1253	Protein of unknown function (DUF1576)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	2558	3859	SAMN05216513	NA	NA
	2654391592	Ga0104391_1163	Protein of unknown function (DUF1761)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	2027	2455	SAMN05216513	NA	NA
	2654389288	Ga0104391_10263	protein of unknown function (DUF1803)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	70608	71417	SAMN05216513	NA	NA
	2654389913	Ga0104391_104111	protein of unknown function (DUF1827)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	124500	124853	SAMN05216513	NA	NA
	2654391302	Ga0104391_11297	protein of unknown function (DUF1827)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	96889	97200	SAMN05216513	NA	NA
	2654391498	Ga0104391_11482	protein of unknown function (DUF1836)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	88877	89443	SAMN05216513	NA	NA
	2654389024	Ga0104391_101125	protein of unknown function (DUF1858)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	136155	136388	SAMN05216513	NA	NA
	2654389956	Ga0104391_104154	protein of unknown function (DUF1961)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	169787	170455	SAMN05216513	NA	NA
	2654389547	Ga0104391_102325	Protein of unknown function (DUF2500)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	354242	354559	SAMN05216513	NA	NA
	2654391934	Ga0104391_12041	GyrI-like small molecule binding domain-containing protein	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	40186	40698	SAMN05216513	NA	NA
	2654391261	Ga0104391_11255	Protein of unknown function (DUF2752)	2651870318	Enterococcus casseliflavus NLAE-zl-C414	3	60765	61055	SAMN05216513	NA	NA
