COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Gene_Product	NCBI.Biosample.Accession	Cat
	8018726515	Ga0444105_01_91401_91584		8018726430	Enterococcus sp. WCA-130-P53-23F	19	91401	91584	NA	SAMN12619137	NA
	8018727370	Ga0444105_10_15731_15800		8018726430	Enterococcus sp. WCA-130-P53-23F	19	15731	15800	NA	SAMN12619137	NA
	8018728062	Ga0444105_21_14928_15134		8018726430	Enterococcus sp. WCA-130-P53-23F	19	14928	15134	NA	SAMN12619137	NA
	8018727229	Ga0444105_08_36646_36748		8018726430	Enterococcus sp. WCA-130-P53-23F	19	36646	36748	NA	SAMN12619137	NA
	8018727952	Ga0444105_18_25586_25669		8018726430	Enterococcus sp. WCA-130-P53-23F	19	25586	25669	NA	SAMN12619137	NA
	8018727950	Ga0444105_18_25336_25524		8018726430	Enterococcus sp. WCA-130-P53-23F	19	25336	25524	NA	SAMN12619137	NA
	8018728541	Ga0444105_43_12390_12494		8018726430	Enterococcus sp. WCA-130-P53-23F	19	12390	12494	NA	SAMN12619137	NA
	8018727615	Ga0444105_12_139535_139920		8018726430	Enterococcus sp. WCA-130-P53-23F	19	139535	139920	NA	SAMN12619137	NA
	8018727531	Ga0444105_12_57721_57952		8018726430	Enterococcus sp. WCA-130-P53-23F	19	57721	57952	NA	SAMN12619137	NA
	8018727601	Ga0444105_12_128589_128677		8018726430	Enterococcus sp. WCA-130-P53-23F	19	128589	128677	NA	SAMN12619137	NA
	8018728444	Ga0444105_34_89042_89247		8018726430	Enterococcus sp. WCA-130-P53-23F	19	89042	89247	NA	SAMN12619137	NA
	8018727716	Ga0444105_14_3197_3295		8018726430	Enterococcus sp. WCA-130-P53-23F	19	3197	3295	NA	SAMN12619137	NA
	8018728677	Ga0444105_44_10085_10469		8018726430	Enterococcus sp. WCA-130-P53-23F	19	10085	10469	NA	SAMN12619137	NA
	8018727047	Ga0444105_06_20653_20891		8018726430	Enterococcus sp. WCA-130-P53-23F	19	20653	20891	NA	SAMN12619137	NA
	8018727505	Ga0444105_12_27836_27983		8018726430	Enterococcus sp. WCA-130-P53-23F	19	27836	27983	NA	SAMN12619137	NA
	8018728721	Ga0444105_44_54759_54797		8018726430	Enterococcus sp. WCA-130-P53-23F	19	54759	54797	NA	SAMN12619137	NA
	8018727203	Ga0444105_08_9877_10117		8018726430	Enterococcus sp. WCA-130-P53-23F	19	9877	10117	NA	SAMN12619137	NA
	8018728923	Ga0444105_45_98711_98967		8018726430	Enterococcus sp. WCA-130-P53-23F	19	98711	98967	NA	SAMN12619137	NA
	8018728051	Ga0444105_21_2024_2103		8018726430	Enterococcus sp. WCA-130-P53-23F	19	2024	2103	NA	SAMN12619137	NA
	8018726524	Ga0444105_01_97416_97590		8018726430	Enterococcus sp. WCA-130-P53-23F	19	97416	97590	NA	SAMN12619137	NA
	8018727438	Ga0444105_11_2900_3105		8018726430	Enterococcus sp. WCA-130-P53-23F	19	2900	3105	NA	SAMN12619137	NA
	8018726593	Ga0444105_01_171491_171565		8018726430	Enterococcus sp. WCA-130-P53-23F	19	171491	171565	NA	SAMN12619137	NA
	8018728604	Ga0444105_43_77750_77874		8018726430	Enterococcus sp. WCA-130-P53-23F	19	77750	77874	NA	SAMN12619137	NA
	8018728669	Ga0444105_44_3522_3588		8018726430	Enterococcus sp. WCA-130-P53-23F	19	3522	3588	NA	SAMN12619137	NA
	8018726455	Ga0444105_01_22966_23091		8018726430	Enterococcus sp. WCA-130-P53-23F	19	22966	23091	NA	SAMN12619137	NA
	8018727108	Ga0444105_06_79172_79399		8018726430	Enterococcus sp. WCA-130-P53-23F	19	79172	79399	NA	SAMN12619137	NA
	8018728657	Ga0444105_43_131932_132179		8018726430	Enterococcus sp. WCA-130-P53-23F	19	131932	132179	NA	SAMN12619137	NA
	8018727042	Ga0444105_06_16378_16552		8018726430	Enterococcus sp. WCA-130-P53-23F	19	16378	16552	NA	SAMN12619137	NA
	8018726763	Ga0444105_02_103479_103523		8018726430	Enterococcus sp. WCA-130-P53-23F	19	103479	103523	NA	SAMN12619137	NA
	8018728004	Ga0444105_20_1134_1479		8018726430	Enterococcus sp. WCA-130-P53-23F	19	1134	1479	NA	SAMN12619137	NA
	8018728377	Ga0444105_34_20421_20510		8018726430	Enterococcus sp. WCA-130-P53-23F	19	20421	20510	NA	SAMN12619137	NA
	8018726840	Ga0444105_03_74164_74291		8018726430	Enterococcus sp. WCA-130-P53-23F	19	74164	74291	NA	SAMN12619137	NA
	8018727657	Ga0444105_12_175103_175269		8018726430	Enterococcus sp. WCA-130-P53-23F	19	175103	175269	NA	SAMN12619137	NA
	8018726828	Ga0444105_03_66303_66349		8018726430	Enterococcus sp. WCA-130-P53-23F	19	66303	66349	NA	SAMN12619137	NA
	8018727866	Ga0444105_16_46372_46598		8018726430	Enterococcus sp. WCA-130-P53-23F	19	46372	46598	NA	SAMN12619137	NA
	8018726971	Ga0444105_05_28680_28738		8018726430	Enterococcus sp. WCA-130-P53-23F	19	28680	28738	NA	SAMN12619137	NA
